matrix_representation	principal_component	component_number	primary_participants	recall_participants	primary_mean	recall_mean	mean_difference_recall_minus_primary	primary_median	recall_median	median_difference_recall_minus_primary	mann_whitney_u	mann_whitney_p_value	rank_biserial_recall_minus_primary	welch_t_statistic	welch_p_value	hedges_g_recall_minus_primary	bh_q_value	fdr_significant
bpv_calibrated_log2_change	PC1	1	20	60	-4.565283603440479	1.5217612011468264	6.087044804587306	-4.6441525823865	1.4246474530634816	6.068800035449982	1130.0	4.020849751873131e-09	0.8833333333333333	8.407188507059683	2.525826379720632e-09	2.290354780906759	4.02084975187313e-08	True
bpv_calibrated_log2_change	PC2	2	20	60	2.564085096077369	-0.8546950320257896	-3.4187801281031587	2.4510053883690506	-1.0858949261737174	-3.536900314542768	191.0	5.655142305659096e-06	-0.6816666666666666	-5.616300901270646	1.2341335835642943e-06	-1.2369084437006947	2.827571152829548e-05	True
bpv_calibrated_log2_change	PC3	3	20	60	0.0023875940165303	-0.0007958646721771	-0.0031834586887075	0.2457815690019782	-0.2794578950463954	-0.5252394640483736	575.0	0.7854511559633675	-0.0416666666666666	-0.0049755803393987	0.9960617229257648	-0.0013059757013096	0.9205201411788336	False
bpv_calibrated_log2_change	PC4	4	20	60	-0.4866854149190162	0.1622284716396722	0.6489138865586884	-0.0813574826972101	0.3188816985317398	0.40023918122895	675.0	0.4077963619519426	0.125	1.170843373956284	0.2491541036573124	0.2796362379866771	0.8594870360195491	False
bpv_calibrated_log2_change	PC5	5	20	60	-0.278157466830589	0.0927191556101965	0.3708766224407855	-0.3045704330114579	0.2093005137949259	0.5138709468063838	660.0	0.5085410601949426	0.1	0.6777641342742119	0.5031780602083054	0.1840301022139578	0.8594870360195491	False
bpv_calibrated_log2_change	PC6	6	20	60	-0.0222711301274491	0.007423710042483	0.0296948401699322	-0.1458336661512542	-0.2803362650302315	-0.1345025988789773	629.0	0.7514965441879751	0.0483333333333333	0.0612000490504958	0.9515524055143716	0.0151421018413093	0.9205201411788336	False
bpv_calibrated_log2_change	PC7	7	20	60	0.1235768935435768	-0.0411922978478587	-0.1647691913914356	0.25354146191365	0.3446646334404312	0.0911231715267811	580.0	0.8284681270609504	-0.0333333333333333	-0.3521497357610404	0.7269443778043052	-0.0889502635847094	0.9205201411788336	False
bpv_calibrated_log2_change	PC8	8	20	60	0.2775336917056453	-0.0925112305685482	-0.3700449222741936	0.1301276838830236	-0.3141798076529963	-0.44430749153602	519.0	0.3710841417958664	-0.135	-0.8953628174779737	0.3759715865947726	-0.2061859749299031	0.8594870360195491	False
bpv_calibrated_log2_change	PC9	9	20	60	0.0771007258649079	-0.0257002419549693	-0.1028009678198773	0.6205106661412312	0.010921655688494	-0.6095890104527371	541.0	0.5156922216117295	-0.0983333333333333	-0.2158671566908233	0.8306143117520846	-0.0598246979077306	0.8594870360195491	False
bpv_calibrated_log2_change	PC10	10	20	60	0.0476879376073131	-0.0158959792024377	-0.0635839168097509	0.4996718920403409	0.141656901488374	-0.3580149905519669	593.0	0.9424250605751996	-0.0116666666666667	-0.1820322339802415	0.8563726709612716	-0.0396486030463394	0.9424250605751996	False
