analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	primary_participants	primary_spearman_rho	primary_p_value	primary_q_value	recall_participants	recall_spearman_rho	recall_p_value	recall_q_value	rho_difference_recall_minus_primary	fisher_z_difference	standard_error	z_statistic	p_value	context_pattern	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV16	FcgR2B	nAb	FcgR2B__nAb	moderate	True	20	-0.3928793752299206	0.086607790353652	0.2598233710609561	60	0.283131274324897	0.0283752363674695	0.0340502836409635	0.6760106495548176	0.7062834122337542	0.27634650180685755	2.5557892269878835	0.010594727225503696	emerges_or_reverses_positive_in_recall	0.015892090838255546	True
predictor_function	raw_predictor	HPV16	FcgR3A	nAb	FcgR3A__nAb	moderate	True	20	-0.0607937137686531	0.7990268261727531	0.7990268261727531	60	0.3805293277925212	0.0027061898819756	0.0040592848229634	0.4413230415611743	0.4615472339216861	0.27634650180685755	1.6701757789728344	0.0948845906748694	emerges_or_reverses_positive_in_recall	0.11386150880984328	False
predictor_function	raw_predictor	HPV18	IgG	ADCP	IgG__ADCP	none	False	20	0.4736842105263157	0.0348799913794965	0.069759982758993	60	0.6782995276465685	2.6068735316791207e-09	7.820620595037362e-09	0.20461531712025283	0.3111480270686853	0.27634650180685755	1.1259343796077832	0.2601932959288352	stronger_positive_coupling_in_recall	0.5132852463117462	False
predictor_function	raw_predictor	HPV18	IgG1	ADCP	IgG1__ADCP	none	False	20	0.5383458646616541	0.0143354623967936	0.0449913889308978	60	0.6984717977215894	5.484100079022196e-10	3.290460047413318e-09	0.16012593305993528	0.26248680659207557	0.27634650180685755	0.9498466775437284	0.34219016420783077	stronger_positive_coupling_in_recall	0.5132852463117462	False
predictor_function	raw_predictor	HPV18	IgG3	ADCP	IgG3__ADCP	none	False	20	0.5353383458646617	0.0149971296436326	0.0449913889308978	60	0.2125034731869964	0.1030811916527116	0.1030811916527116	-0.3228348726776653	-0.3818065071345701	0.27634650180685755	-1.3816223640906444	0.16708768346586478	weaker_positive_coupling_in_recall	0.5132852463117462	False
predictor_function	raw_predictor	HPV18	FcgR2A	ADCP	FcgR2A__ADCP	low	False	20	0.0360902255639097	0.8799311955207728	0.8799311955207728	60	0.3208669074742984	0.0124326842856151	0.0161758024781509	0.28477668191038874	0.29650730655118135	0.27634650180685755	1.0729548035256637	0.28329139516347024	stronger_positive_coupling_in_recall	0.5132852463117462	False
predictor_function	raw_predictor	HPV18	FcgR2B	ADCP	FcgR2B__ADCP	none	False	20	0.3533834586466165	0.126406650779322	0.1516879809351864	60	0.3173659349819395	0.0134798353984591	0.0161758024781509	-0.03601752366467703	-0.0405894882789849	0.27634650180685755	-0.14687896540609535	0.8832275550121755	weaker_positive_coupling_in_recall	0.8832275550121755	False
predictor_function	raw_predictor	HPV18	FcgR3A	ADCP	FcgR3A__ADCP	low	False	20	0.4360902255639097	0.054584099673222	0.0818761495098331	60	0.483523200889136	9.093937587933332e-05	0.0001818787517586	0.04743297532522628	0.06017969813798374	0.27634650180685755	0.21776898836969602	0.8276091083702223	stronger_positive_coupling_in_recall	0.8832275550121755	False
predictor_function	raw_predictor	HPV18	IgG	nAb	IgG__nAb	high	True	20	0.6824926087042867	0.0009146400119252	0.0054878400715514	60	0.4863806469117936	8.14417824298089e-05	0.0002443253472894	-0.19611196179249313	-0.3024568278888554	0.27634650180685755	-1.0944840115987673	0.2737427558204193	weaker_positive_coupling_in_recall	0.7968942139162913	False
predictor_function	raw_predictor	HPV18	IgG1	nAb	IgG1__nAb	high	True	20	0.6291132985262978	0.0029615400726383	0.008884620217915	60	0.5510813691730502	5.047939457195796e-06	3.028763674317477e-05	-0.07803192935324765	-0.12001427603474812	0.27634650180685755	-0.4342891089630213	0.6640785115969094	weaker_positive_coupling_in_recall	0.7968942139162913	False
