analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	recall_dose1_rho	recall_dose1_participants	recall_dose1_q_value	recall_dose2_rho	recall_dose2_participants	recall_dose2_q_value	recall_dose3_rho	recall_dose3_participants	recall_dose3_q_value	weighted_fisher_z_mean	heterogeneity_q	degrees_of_freedom	p_value	i_squared_percent	bh_q_value	fdr_significant
predictor_function	bpv_calibrated_predictor	HPV18	FcgR2B	nAb	FcgR2B__nAb	high	True	0.1302570626945527	20	0.7009578763741106	0.2972320146296215	21	0.2427256903789821	-0.0677986660037981	19	0.782715883902121	0.1305338957115153	1.1872684308552808	2	0.5523163961787065	0.0	0.8014968785481171	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR3A	ADCP	FcgR3A__ADCP	high	True	0.3022556390977443	20	0.2928563710833042	0.222077922077922	21	0.3999366235134455	0.2070175438596491	19	0.5926742478429232	0.24960765033129012	0.10137833950282321	2	0.950574091798371	0.0	0.950574091798371	False
predictor_function	bpv_calibrated_predictor	HPV18	FcgR3A	nAb	FcgR3A__nAb	high	True	0.2218913916831626	20	0.5206517170483808	0.2899824532971918	21	0.2427256903789821	0.0815416388424058	19	0.782715883902121	0.20622303996691652	0.4078433367373991	2	0.8155262501869324	0.0	0.8155262501869324	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG	ADCP	IgG__ADCP	none	False	0.3353383458646616	20	0.2928563710833042	0.6558441558441558	21	0.003738995225275	0.6596491228070176	19	0.0127231868832235	0.6420381525909442	2.1926280856022684	2	0.3341002962861227	8.785260339733245	0.6711448924515658	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG	nAb	IgG__nAb	high	True	0.233251019243734	20	0.5206517170483808	0.4349736799457877	21	0.2427256903789821	0.5561323008689927	19	0.0804738604884362	0.4404577306781323	1.2692162453120739	2	0.5301431987250455	0.0	0.8014968785481171	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG1	ADCP	IgG1__ADCP	none	False	0.4285714285714286	20	0.2896157330034611	0.6896103896103896	21	0.0032577382362347	0.4333333333333333	19	0.1914786366630599	0.5972978379070204	1.7377309685362123	2	0.41942712609485866	0.0	0.6711448924515658	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG1	nAb	IgG1__nAb	high	True	0.458928953447087	20	0.2508720931825156	0.3097539842038184	21	0.2427256903789821	0.1823234396588625	19	0.782715883902121	0.33620176318761574	0.8071915164934201	2	0.6679140654567643	0.0	0.8014968785481171	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG3	ADCP	IgG3__ADCP	low	False	-0.3819548872180451	20	0.2896157330034611	0.3688311688311688	21	0.1998134108898987	0.3122807017543859	19	0.3860849355940043	0.10385277128380575	6.568754645277339	2	0.0374639057580114	69.55282838219698	0.22478343454806843	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG3	nAb	IgG3__nAb	high	True	-0.0492250527624763	20	0.8367201093105835	0.3815905464978956	21	0.2427256903789821	0.3554848974253198	19	0.4058268099841134	0.24204679394008943	2.171724939880296	2	0.3376104814003986	7.90730615681751	0.8014968785481171	False
predictor_function	raw_predictor	HPV16	FcgR2A	ADCP	FcgR2A__ADCP	low	False	-0.0766917293233082	20	0.7479334475419401	0.1623376623376623	21	0.4820201872355596	0.1807017543859649	19	0.4591089856621523	0.08951303253340419	0.7087247887518795	2	0.7016206578975532	0.0	0.8198758279474643	False
