model_id	model_family	contrast_type	contrast_label	previous_4vHPV_doses	antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	estimate_log2	standard_error	ci95_lower	ci95_upper	test_statistic	p_value	ratio_effect	ratio_ci95_lower	ratio_ci95_upper	bh_family	q_value	fdr_significant_0_05	phase2B1_mean_log2_change	phase2B1_p_value	phase2B1_q_value	effect_difference	effect_direction_agreement
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3	BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	0.1350985969499483	0.45376366916099964	-0.7542618520983594	1.024459045998256	0.2977289856628298	0.7659100187631983	1.0981678624278728	0.5928496365191268	2.0341964973617657	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.7659100187631983	no	0.1350985969499484	0.6551400319900031	0.6551400319900031	-1.1102230246251565e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0	BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	-1.2640528539383427	0.6773783648748452	-2.5916900529996707	0.06358434512298539	-1.8660956999592002	0.062027977489854155	0.4163726311170308	0.16589127864456665	1.0450589648824629	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.12405595497970831	no	-1.2640528539383673	0.1597020351197693	0.2839147291018121	2.4646951146678475e-14	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1	BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	2.410460202681573	0.6773783648748456	1.082823003620244	3.738097401742902	3.5585137165208054	0.00037295931721460004	5.316438867149718	2.118176785878238	13.343797560514359	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.0019891163584778667	yes	2.4104602026815707	0.0024661590755216	0.013152848402782	2.220446049250313e-15	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2	BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	1.284839063551507	0.66105359569512	-0.010802175861630348	2.580480302964644	1.9436231372441983	0.051940913609726976	2.4365487087352182	0.9925404637381229	5.981387990651884	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.11872208825080452	no	1.284839063551508	0.0256910290282272	0.0822112928903272	-8.881784197001252e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3	BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	0.8778632210720514	0.6949755385324304	-0.4842638045878409	2.239990246731944	1.263157006829078	0.20653276024703182	1.837651534764045	0.7148617648905686	4.72393870965752	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.3004112876320463	no	0.8778632210720517	0.2011459636265412	0.321833541802466	-3.3306690738754696e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0	BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	0.19903929810108603	0.33078410725256546	-0.44928563877217675	0.8473642349743488	0.6017196525984014	0.547360766000931	1.1479336824171116	0.7324054142143381	1.7992108109158111	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.6255551611439211	no	0.199039298101086	0.5081940667417336	0.5807932191334099	2.7755575615628914e-17	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1	BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	-0.17324413043453354	0.3307841072525653	-0.821569067307796	0.47508080643872885	-0.5237377692461372	0.6004609420738447	0.8868462218242124	0.5658262183508006	1.389996072391733	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.6404916715454344	no	-0.1732441304345336	0.6010108146243498	0.6410782022659731	5.551115123125783e-17	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2	BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	0.2746415300421218	0.32281223439799395	-0.35805882314684834	0.9073418832310919	0.8507779469830047	0.39489271425184325	1.2096934763833591	0.7802136677965213	1.8755866081368093	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.5265236190024577	no	0.274641530042122	0.2533145196066954	0.3377526928089272	-2.220446049250313e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3	BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	-0.7413346646105198	0.33937733325494585	-1.4065020149594614	-0.0761673142615783	-2.1843965167043637	0.028933123965762933	0.59818570328665	0.3772252061389539	0.9485742993662408	HPVVT-FJ-M06|IgG subclass architecture|within_trajectory	0.09258599669044139	no	-0.74133466461052	0.1397567715803266	0.2795135431606533	2.220446049250313e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0	BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	-0.11971997270795437	0.17095239473292936	-0.45478050945537074	0.215340564039462	-0.7003117616163674	0.48373262811051854	0.9203662765007016	0.7296211676953017	1.16097794365735	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.7739722049768296	no	-0.1197199727079525	0.5294032036938789	0.8470451259102063	-1.8735013540549517e-15	yes
