sensitivity_id	antigen_target	feature	previous_4vHPV_doses	continuous_effect	continuous_q_value	detection_effect	detection_q_value	conditional_effect	conditional_q_value	robustness_classification
within|HPV18|IgG4|dose0	HPV18	IgG4	0.0	-0.2462005357836608	0.7980473849338032	0.65	0.0016276041666666667	-2.104882950476839	0.14706077782237972	continuous_result_not_fdr_significant
within|HPV18|IgG4|dose1	HPV18	IgG4	1.0	2.0124065787615644	0.0108426927209069	0.45	0.01953125	0.4382540165794735	0.6203197182763659	sensitivity_supported
within|HPV18|IgG4|dose2	HPV18	IgG4	2.0	1.8101030181419635	0.0179737170494724	0.19047619047619047	0.25	0.9546154177560808	0.2811009824442051	not_supported_after_floor_sensitivity
within|HPV18|IgG4|dose3	HPV18	IgG4	3.0	1.9345140694584284	0.0366361193262146	0.21052631578947367	0.4166666666666667	1.3296865242572578	0.21394997769989144	not_supported_after_floor_sensitivity
within|HPV18|nAb|dose0	HPV18	nAb	0.0	3.900000000000001	3.491551032547018e-07	0.85	0.0001220703125	6.000000000000001		sensitivity_supported
within|HPV18|nAb|dose1	HPV18	nAb	1.0	6.1	1.644778503536252e-10	0.3	0.08333333333333333	5.642857142857143	1.049237400653189e-07	sensitivity_supported
within|HPV18|nAb|dose2	HPV18	nAb	2.0	5.238095238095238	2.9899913610974596e-11	0.09523809523809523	1.0	5.105263157894737	3.556620457948627e-10	sensitivity_supported
within|HPV18|nAb|dose3	HPV18	nAb	3.0	5.157894736842105	5.314191828098368e-13	0.05263157894736842	1.0	5.055555555555555	1.3869274728443275e-12	sensitivity_supported
within|HPV31|FcgR2B|dose0	HPV31	FcgR2B	0.0	2.3336024071487924	0.0144529596490535	0.1	0.7619047619047619	1.9120940844875942	0.01932095775517406	sensitivity_supported
within|HPV31|FcgR2B|dose1	HPV31	FcgR2B	1.0	5.080293889823286	2.517322797282496e-05	0.25	0.2222222222222222	3.2549088951593963	0.00015797892587347454	sensitivity_supported
within|HPV31|FcgR2B|dose2	HPV31	FcgR2B	2.0	3.344916208583576	0.0004486440086586	0.19047619047619047	0.32	2.0995666966242648	0.00043119189925479485	sensitivity_supported
within|HPV31|FcgR2B|dose3	HPV31	FcgR2B	3.0	2.713768023299369	0.0004720422111906	0.05263157894736842	1.0	2.445690757309999	0.001017826988611104	sensitivity_supported
within|HPV31|FcgR3A|dose0	HPV31	FcgR3A	0.0	2.0160363294119827	0.0144529596490535	0.1	0.7619047619047619	1.8291644417305561	0.02018296447876971	sensitivity_supported
within|HPV31|FcgR3A|dose1	HPV31	FcgR3A	1.0	5.399575353412487	7.748644496839965e-06	0.15	0.5161290322580645	4.4738475220255705	3.9564265363803274e-05	sensitivity_supported
within|HPV31|FcgR3A|dose2	HPV31	FcgR3A	2.0	4.110380332860128	2.517322797282496e-05	0.14285714285714285	0.5161290322580645	3.1036408110864553	3.797364885563204e-05	sensitivity_supported
within|HPV31|FcgR3A|dose3	HPV31	FcgR3A	3.0	3.575111601241427	8.103135226981761e-05	0.15789473684210525	0.5161290322580645	2.5767775981617564	7.842702472789878e-05	sensitivity_supported
within|HPV31|IgA2|dose0	HPV31	IgA2	0.0	3.4641104511711225	0.0093198169165247	0.4	0.04017857142857143	0.2290397149736211	0.8889100673645908	sensitivity_supported
within|HPV31|IgA2|dose1	HPV31	IgA2	1.0	4.103218683831435	0.0015359101285996	0.3	0.158203125	4.012724468289907	0.06190705828236606	not_supported_after_floor_sensitivity
within|HPV31|IgA2|dose2	HPV31	IgA2	2.0	4.901327733755285	0.0010618538738222	0.38095238095238093	0.0703125	3.8575123648664627	0.06190705828236606	not_supported_after_floor_sensitivity
within|HPV31|IgA2|dose3	HPV31	IgA2	3.0	4.571850710320103	0.0010618538738222	0.3684210526315789	0.05625	3.3096786298786607	0.06190705828236606	not_supported_after_floor_sensitivity
within|HPV31|IgG2|dose0	HPV31	IgG2	0.0	-0.2352294580608573	0.8223165018072863	-0.1	0.7407407407407407	0.5483258264770766	0.6427217212935341	continuous_result_not_fdr_significant
within|HPV31|IgG2|dose1	HPV31	IgG2	1.0	3.517412942966112	0.0003085228166983	0.35	0.04807692307692308	2.6172069332715218	0.02918082820986809	sensitivity_supported
within|HPV31|IgG2|dose2	HPV31	IgG2	2.0	3.794207910188667	4.60750911786394e-06	0.3333333333333333	0.04807692307692308	3.3357717590457345	0.005925622852021885	sensitivity_supported
within|HPV31|IgG2|dose3	HPV31	IgG2	3.0	1.7857907959200865	0.0668897870955611	0.21052631578947367	0.25	0.7036809815797052	0.5768971216548371	continuous_result_not_fdr_significant
within|HPV31|IgG4|dose0	HPV31	IgG4	0.0	-0.0070546159617299	0.9493673769450394	-0.9	0.00030517578125	1.0605415419350503		continuous_result_not_fdr_significant
within|HPV31|IgG4|dose1	HPV31	IgG4	1.0	1.9893567999816308	0.0005922016640913	-0.25	0.14705882352941177	2.652475733308841	0.0015174907841005673	sensitivity_supported
within|HPV31|IgG4|dose2	HPV31	IgG4	2.0	1.7803082299175732	0.0070558103178535	-0.3333333333333333	0.04807692307692308	2.836314351654028	0.005925622852021885	sensitivity_supported
within|HPV31|IgG4|dose3	HPV31	IgG4	3.0	1.951499555650317	0.0006227927131992	-0.2631578947368421	0.14705882352941177	2.6484636826682872	0.0015174907841005673	sensitivity_supported
within|HPV33|FcgR2A|dose0	HPV33	FcgR2A	0.0	-0.5411164284058568	0.629138412349363	0.1	0.9361702127659575	-1.45482860332298	0.25388837341574344	continuous_result_not_fdr_significant
within|HPV33|FcgR2A|dose1	HPV33	FcgR2A	1.0	3.0410379055636256	0.0052016851713717	0.3	0.23684210526315788	1.0116930509378255	0.28230208047596106	not_supported_after_floor_sensitivity
within|HPV33|FcgR2A|dose2	HPV33	FcgR2A	2.0	2.5539314034723497	0.0125845487886539	0.19047619047619047	0.5161290322580645	1.186543908047562	0.11786238055151213	not_supported_after_floor_sensitivity
within|HPV33|FcgR2A|dose3	HPV33	FcgR2A	3.0	3.6298339111919606	7.291784208248636e-05	0.3157894736842105	0.16666666666666666	2.781780008778102	0.008231415090651152	sensitivity_supported
within|HPV33|FcgR3A|dose0	HPV33	FcgR3A	0.0	0.6679077505291314	0.3426321973047624	0.15	0.7272727272727273	-0.10070128195571484	0.6110140897704843	continuous_result_not_fdr_significant
within|HPV33|FcgR3A|dose1	HPV33	FcgR3A	1.0	3.574388881722844	1.0632366290515537e-05	0.35	0.125	2.2642475271257316	0.0007700832545708793	sensitivity_supported
within|HPV33|FcgR3A|dose2	HPV33	FcgR3A	2.0	2.792564101068946	4.507339443275901e-05	0.19047619047619047	0.32	2.2175086205535424	3.074815913180765e-05	sensitivity_supported
within|HPV33|FcgR3A|dose3	HPV33	FcgR3A	3.0	3.4700671618544887	7.291784208248636e-05	0.3157894736842105	0.16666666666666666	2.359413345002932	0.0018520420392596506	sensitivity_supported
within|HPV33|IgA2|dose0	HPV33	IgA2	0.0	2.555031063246548	0.0027408215645134	0.2	0.21428571428571427	2.7786673211153934	0.021532123883012233	sensitivity_supported
