antigen_target	antigen_class	feature	assay_family	previous_4vHPV_doses	participant_feature_records	paired_participants	visit1_observed	visit2_observed	median_log2_change	mean_log2_change	sd_log2_change	median_raw_change	positive_log2_change_fraction	paired_fraction
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	3	19	19	19	19	1.1981005203309554	0.6421256437802443	2.363759084690807	625.9999999999998	0.6842105263157895	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	0	20	20	20	20	5.380662151170979	5.965755138199482	3.061324018504004	4141.55	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	1	20	20	20	20	4.325392481529627	3.9047925717421483	2.727327914809438	24453.55	0.95	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	2	21	21	21	21	1.050736375072459	2.321888761687715	2.7981119885990773	15538.0	0.9523809523809523	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	3	19	19	19	19	3.6344273174429986	3.4551920916065124	2.6067374791666267	7993.0	0.9473684210526315	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	0	20	20	20	20	0.0	0.7214479710738101	1.3381255250845343	0.0	0.35	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	1	20	20	20	20	2.58257725327755	2.379777444440708	2.73931844208967	67.2	0.75	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	2	21	21	21	21	0.48871044883635406	0.41049896863998975	2.091728478277919	45.5	0.6190476190476191	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	3	19	19	19	19	1.3543879671464376	0.26190205657464627	2.6354563933336816	8.499999999999998	0.5263157894736842	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	0	20	20	20	20	4.3369502307076555	3.7684502581163715	2.02027709539501	9346.35	0.95	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	1	20	20	20	20	1.545204722306695	1.3864877742380781	1.6763353136488792	2114.6	0.65	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	2	21	21	21	21	0.1109362389837063	0.23410484648217272	1.3138122761680116	355.5	0.5714285714285714	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	3	19	19	19	19	0.5060321385484361	0.6892689451797956	1.5188201460044923	692.2	0.631578947368421	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	0	20	20	20	20	4.437405312307299	4.591128061828825	2.526003868589784	1550.0	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	1	20	20	20	20	5.9563101496527935	5.654693281784079	2.51161491063974	51100.0	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	2	21	21	21	21	2.9975371618732467	3.4573839744510106	1.3823697710653797	48000.0	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	3	19	19	19	19	3.979040381364353	3.7174996880510216	2.161158924608728	38400.0	0.9473684210526315	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	0	20	20	20	20	0.5506170276909716	0.5884163746868868	0.35869026265609744	16.003783	0.95	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	1	20	20	20	20	0.8496580778111822	0.8487697513613558	0.41885836976448376	28.607376999999996	1.0	1.0
