antigen_target	antigen_class	visit	feature	assay_family	minimum	minimum_count	minimum_fraction	floor_severity	discrete_titer_or_ordinal_assay
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG	antibody_isotype_or_subclass	52.5	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG	antibody_isotype_or_subclass	781.3	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG1	antibody_isotype_or_subclass	47.3	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG1	antibody_isotype_or_subclass	784.5	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG2	antibody_isotype_or_subclass	1.0	9	0.1125	low	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG2	antibody_isotype_or_subclass	1.0	7	0.0875	low	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG3	antibody_isotype_or_subclass	1.0	3	0.0375	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG3	antibody_isotype_or_subclass	32.0	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG4	antibody_isotype_or_subclass	1.0	31	0.3875	high	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG4	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgM	antibody_isotype_or_subclass	404.5	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgM	antibody_isotype_or_subclass	468.5	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	nAb	neutralizing_antibody	50.0	28	0.35	high	yes
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	nAb	neutralizing_antibody	50.0	2	0.025	none	yes
HPV31	cross_reactive_non_booster_target	v1	FcgR2A	fc_gamma_receptor_binding	1.0	10	0.125	low	no
HPV31	cross_reactive_non_booster_target	v2	FcgR2A	fc_gamma_receptor_binding	1.0	8	0.1	low	no
HPV31	cross_reactive_non_booster_target	v1	FcgR2B	fc_gamma_receptor_binding	1.0	15	0.1875	moderate	no
HPV31	cross_reactive_non_booster_target	v2	FcgR2B	fc_gamma_receptor_binding	1.0	3	0.0375	none	no
HPV31	cross_reactive_non_booster_target	v1	FcgR3A	fc_gamma_receptor_binding	1.0	13	0.1625	moderate	no
HPV31	cross_reactive_non_booster_target	v2	FcgR3A	fc_gamma_receptor_binding	1.0	2	0.025	none	no
HPV31	cross_reactive_non_booster_target	v1	IgA1	antibody_isotype_or_subclass	1.0	4	0.05	low	no
HPV31	cross_reactive_non_booster_target	v2	IgA1	antibody_isotype_or_subclass	87.5	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v1	IgA2	antibody_isotype_or_subclass	1.0	46	0.575	high	no
HPV31	cross_reactive_non_booster_target	v2	IgA2	antibody_isotype_or_subclass	1.0	17	0.2125	moderate	no
HPV31	cross_reactive_non_booster_target	v1	IgG	antibody_isotype_or_subclass	42.5	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v2	IgG	antibody_isotype_or_subclass	118.5	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v1	IgG1	antibody_isotype_or_subclass	8.0	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v2	IgG1	antibody_isotype_or_subclass	56.7	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v1	IgG2	antibody_isotype_or_subclass	1.0	31	0.3875	high	no
HPV31	cross_reactive_non_booster_target	v2	IgG2	antibody_isotype_or_subclass	1.0	15	0.1875	moderate	no
HPV31	cross_reactive_non_booster_target	v1	IgG3	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v2	IgG3	antibody_isotype_or_subclass	1.0	3	0.0375	none	no
HPV31	cross_reactive_non_booster_target	v1	IgG4	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v2	IgG4	antibody_isotype_or_subclass	1.0	36	0.45	high	no
HPV31	cross_reactive_non_booster_target	v1	IgM	antibody_isotype_or_subclass	73.7	1	0.0125	none	no
HPV31	cross_reactive_non_booster_target	v2	IgM	antibody_isotype_or_subclass	92.7	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v1	FcgR2A	fc_gamma_receptor_binding	1.0	23	0.2875	moderate	no
