antigen_target	antigen_class	feature	assay_family	outcome_family	primary_participants	recall_participants	primary_mean_log2_change	recall_mean_log2_change	primary_geometric_mean_ratio	recall_geometric_mean_ratio	primary_minus_recall_log2_change	difference_standard_error	ci95_lower_primary_minus_recall	ci95_upper_primary_minus_recall	ratio_of_geometric_mean_ratios	ratio_ci95_lower	ratio_ci95_upper	maximum_floor_severity
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	6.662738455416481	0.9538505273769149	101.31742144355236	1.937035678516689	5.708887928039566	0.7472230116274469	4.168102767803676	7.249673088275456	52.30539765851786	17.97727898224707	152.18402222702323	low
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	20	60	1.5838570278059971	1.424287274262997	2.997702114193193	2.6838188075407254	0.15956975354300007	0.24208869751330803	-0.3337602502346064	0.6528997573206066	1.1169539857797215	0.7934656918509757	1.5723253307132543	none
HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	20	60	5.1	4.316666666666666	34.29675080116137	19.927193957741164	0.7833333333333332	0.6431468517616445	-0.5302814831050526	2.096948149771719	1.72110287448866	0.6924196234221424	4.278034596901059	moderate
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	20	60	3.750673700138944	1.688393397704389	13.4606269307239	3.222975893537641	2.062280302434555	0.45628232812401937	1.1321735713399708	2.9923870335291394	4.176459078615411	2.1918872240474885	7.957895937337324	none
HPV18	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	20	60	1.2226119047871562	0.7621036001486539	2.3336883404521234	1.6959617121601664	0.46050830463850234	0.28616445047057376	-0.1270478256029095	1.0480644348799142	1.376026548075591	0.9157033301830872	2.0677538222234575	none
HPV18	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	20	60	3.8036306462243195	1.9849513476586285	13.96390600973548	3.958493130222745	1.818679298565691	0.5043778297550301	0.7894563972582838	2.847902199873098	3.5275812159738997	1.7284230757786503	7.199527366692892	none
HPV18	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	60	5.806649541396817	3.8843874976261317	55.972626465942355	14.76784588817874	1.9222620437706857	0.94332824658818	0.01578041610837011	3.828743671433001	3.790168646785983	1.010998191216711	14.20910392904968	high
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	20	60	3.767649968659086	1.9069962660515656	13.619954405647801	3.750274679445598	1.8606537026075203	0.3741291057599663	1.10038879258618	2.6209186126288606	3.6317218256827086	2.1441246684175717	6.1514162928195395	none
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.6552732689055487	2.315513960208726	1.5749142381679537	4.97781964594892	-1.6602406913031773	0.641724781089965	-2.9581003737297054	-0.36238100887664926	0.31638635992962505	0.1286835571178796	0.7778797151047208	low
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	60	3.7589881512686154	3.286126218882861	13.5384263552065	9.7548941540218	0.47286193238575436	0.7634936706637225	-1.0967235038540792	2.042447368625588	1.3878598928338761	0.46757720264010144	4.119437541567735	none
