analysis_layer	predictor_representation	antigen_target	analysis_stratum	predictor_feature	functional_outcome	feature_pair	participants	spearman_rho	spearman_p_value	correlation_status	correlation_direction	correlation_strength	predictor_floor_severity	outcome_floor_severity	pair_maximum_floor_severity	floor_sensitive_pair	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV16	recall_dose3	FcgR2A	nAb	FcgR2A__nAb	19	0.26397449089933167	0.2748162101170415	estimated	positive	weak	low	moderate	moderate	True	0.41222431517556224	False
predictor_function	raw_predictor	HPV16	recall_dose3	FcgR2B	nAb	FcgR2B__nAb	19	0.1514905153958364	0.5358555126341112	estimated	positive	very_weak	moderate	moderate	moderate	True	0.6430266151609335	False
predictor_function	raw_predictor	HPV16	recall_dose3	FcgR3A	nAb	FcgR3A__nAb	19	0.0752916932805654	0.7593431780232522	estimated	positive	very_weak	low	moderate	moderate	True	0.7593431780232522	False
predictor_function	raw_predictor	HPV18	all_participants	IgG	ADCP	IgG__ADCP	80	0.5118377871542428	1.2187399889979603e-06	estimated	positive	moderate	none	none	none	False	7.312439933987762e-06	True
predictor_function	raw_predictor	HPV18	all_participants	IgG1	ADCP	IgG1__ADCP	80	0.49472573839662454	3.091606842337318e-06	estimated	positive	moderate	none	none	none	False	9.274820527011954e-06	True
predictor_function	raw_predictor	HPV18	all_participants	IgG3	ADCP	IgG3__ADCP	80	0.28649789029535866	0.009982470605051086	estimated	positive	weak	none	none	none	False	0.014973705907576629	True
predictor_function	raw_predictor	HPV18	all_participants	FcgR2A	ADCP	FcgR2A__ADCP	80	0.2055789967182372	0.06733844055233745	estimated	positive	weak	low	none	low	False	0.06733844055233745	False
predictor_function	raw_predictor	HPV18	all_participants	FcgR2B	ADCP	FcgR2B__ADCP	80	0.23905297702766062	0.032714406306114524	estimated	positive	weak	none	none	none	False	0.03925728756733743	True
predictor_function	raw_predictor	HPV18	all_participants	FcgR3A	ADCP	FcgR3A__ADCP	80	0.346108766994843	0.0016621633684300377	estimated	positive	weak	low	none	low	False	0.0033243267368600754	True
predictor_function	raw_predictor	HPV18	all_participants	IgG	nAb	IgG__nAb	80	0.30441378090050236	0.0060439214511299215	estimated	positive	weak	none	high	high	True	0.01849907593269802	True
