antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	coefficient	estimate	standard_error	test_statistic	p_value
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	visit_v2_dose1	1.4286838291717727	1.2247557755141372	1.1665050761422449	0.24341029744949716
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	visit_v2_dose2	0.7899889066128829	1.2100875125365018	0.6528361779033343	0.5138618975608054
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	visit_v2_dose3	0.8045883261196551	1.2407663344689146	0.6484607969832153	0.5166869588050602
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	intercept	2.9442028235894524	0.41002120814822873	7.180611063721074	6.940052464998637e-13
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	visit_v2	7.72852973993451	0.5155650656481651	14.990406167683709	8.48328508407147e-51
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	dose1	7.658861544292583	0.5798575534238269	13.20817759304862	7.870694888369724e-40
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	dose2	8.461896033698192	0.5729129010668141	14.769951973400142	2.288759852086171e-49
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	dose3	8.29201434722121	0.5874377124482395	14.115563525301994	3.045714902698901e-45
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	visit_v2_dose1	-7.160773283701716	0.7291191081254101	-9.82112963972691	9.131447879179113e-23
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	mixedlm_powell	visit_v2_dose2	-7.588275969531128	0.7203868277526042	-10.533612882962235	6.046814365717083e-26
