matrix_representation	analysis_stratum	participants	principal_component	component_number	centroid_score	median_score	score_standard_deviation
bpv_calibrated_log2_change	recall_dose1	20	PC1	1	2.5685619709225733	2.6433693365493958	3.1834503945411816
bpv_calibrated_log2_change	recall_dose1	20	PC2	2	0.7840203783689503	0.013011651258147516	3.047115484280437
bpv_calibrated_log2_change	recall_dose1	20	PC3	3	0.7196735804766308	0.06404670452175283	2.2584726105391586
bpv_calibrated_log2_change	recall_dose1	20	PC4	4	-0.14016187271885747	-0.15037267277872346	2.167478085630495
bpv_calibrated_log2_change	recall_dose1	20	PC5	5	0.5085104786566224	0.7134242717704773	2.1821998395894595
bpv_calibrated_log2_change	recall_dose1	20	PC6	6	-0.14091061396106716	-0.6381830073929061	2.213172977283773
bpv_calibrated_log2_change	recall_dose1	20	PC7	7	-0.8111219647319722	-0.8026192351292571	1.7781314807987294
bpv_calibrated_log2_change	recall_dose1	20	PC8	8	0.47331074450823857	0.7169770582026397	1.9219904541276327
bpv_calibrated_log2_change	recall_dose1	20	PC9	9	-0.2299047249134653	-0.05624459299635432	1.4657579703965582
bpv_calibrated_log2_change	recall_dose1	20	PC10	10	0.01301225422321034	0.18622708059126997	1.7132993813175255
bpv_calibrated_log2_change	recall_dose2	21	PC1	1	1.1768001668007801	1.2799185435753195	2.0373656705048817
bpv_calibrated_log2_change	recall_dose2	21	PC2	2	-1.5135547290799403	-1.6216562906671927	2.571871292907946
bpv_calibrated_log2_change	recall_dose2	21	PC3	3	-0.26603567045692317	-0.14904295995448472	1.9535961341589476
bpv_calibrated_log2_change	recall_dose2	21	PC4	4	0.7634902149673007	0.9424381636281914	2.546470391828475
bpv_calibrated_log2_change	recall_dose2	21	PC5	5	-0.4575772985671535	-0.25446134756821465	1.9045660602168204
bpv_calibrated_log2_change	recall_dose2	21	PC6	6	-0.013956713931898875	-0.09687514312203253	1.8993857711589734
bpv_calibrated_log2_change	recall_dose2	21	PC7	7	0.32181998721902183	0.9659106148503707	1.5736721405467977
bpv_calibrated_log2_change	recall_dose2	21	PC8	8	-0.883894489974325	-1.2688536306487848	1.760451616494392
bpv_calibrated_log2_change	recall_dose2	21	PC9	9	0.01817020876689592	0.5391400860448516	1.3863229882751764
bpv_calibrated_log2_change	recall_dose2	21	PC10	10	-0.2946780655977519	0.010347129078802393	1.6130541319222145
bpv_calibrated_log2_change	recall_dose3	19	PC1	1	0.8011383761864066	0.6472029945188992	2.0045865580446915
bpv_calibrated_log2_change	recall_dose3	19	PC2	2	-1.85144527253935	-1.5091560037654463	2.4333391400692643
bpv_calibrated_log2_change	recall_dose3	19	PC3	3	-0.4660249689614662	-0.8316183985924369	2.845622239613553
bpv_calibrated_log2_change	recall_dose3	19	PC4	4	-0.18401835587135942	0.44591598036473484	2.3581656163553926
bpv_calibrated_log2_change	recall_dose3	19	PC5	5	0.2632664754415562	0.2846882890263583	1.6195287771449791
bpv_calibrated_log2_change	recall_dose3	19	PC6	6	0.18719609864948436	0.48448565649681663	1.8722074592884224
bpv_calibrated_log2_change	recall_dose3	19	PC7	7	0.3680358785351818	0.41875130050981896	2.020253681542627
bpv_calibrated_log2_change	recall_dose3	19	PC8	8	0.18657345079911333	0.40223112206316763	1.668797880909491
bpv_calibrated_log2_change	recall_dose3	19	PC9	9	0.14076345246664876	0.014136278617309926	2.0528908947457074
bpv_calibrated_log2_change	recall_dose3	19	PC10	10	0.26180187057591126	0.4994414766844412	1.7879931732601757
