model_id	model_family	contrast_type	contrast_label	previous_4vHPV_doses	antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	estimate_log2	standard_error	ci95_lower	ci95_upper	test_statistic	p_value	ratio_effect	ratio_ci95_lower	ratio_ci95_upper	bh_family	q_value	fdr_significant_0_05
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0.0	BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	0.3682205383472616	0.3522087131223621	-0.3220958544137681	1.0585369311082913	1.045461184315837	0.2958098713566193	1.290759788055156	0.7999069797742036	2.082818218351444	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.44371480703492894	no
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1.0	BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	0.6327174168822416	0.3522087131223628	-0.0575989758787894	1.3230338096432726	1.7964274968473752	0.0724265540151029	1.5504826872830118	0.960861916410853	2.5019167921069205	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.1448531080302058	no
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2.0	BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	1.183176571426511	0.3437205088292229	0.5094967533734525	1.856856389479569	3.44226352816896	0.0005768679760561	2.270762105828971	1.4235535393675087	3.6221753511004704	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.0034612078563365997	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3.0	BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	1.1548898546707342	0.3613585150793146	0.4466401796084035	1.8631395297330648	3.195966903996291	0.0013936309655699	2.2266732303148817	1.3628626553739471	3.6379848365868495	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.0055745238622796	yes
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose2_minus_dose1_at_v1		BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.4363184210090379	0.7225753801947961	-0.9799033002880988	1.8525401423061747	0.6038379288419884	0.5459513998593303	1.353146854687888	0.5070137224321624	3.611354741185945	HPVVT-FJ-M06|Antibody abundance|persistence_dose_contrast	0.8851104168542925	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose3_minus_dose1_at_v1		BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	-0.3367581778390535	0.7408945192587759	-1.7888847519293716	1.1153683962512648	-0.4545291793708522	0.6494479949481686	0.79181857807127	0.289395671371877	2.1665032431433136	HPVVT-FJ-M06|Antibody abundance|persistence_dose_contrast	0.8851104168542925	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose3_minus_dose2_at_v1		BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	-0.7730765988480914	0.732250074824697	-2.208260373181257	0.6621071754850743	-1.0557548922520337	0.2910802114003967	0.5851682508281099	0.2163950835337545	1.5823921513624262	HPVVT-FJ-M06|Antibody abundance|persistence_dose_contrast	0.8851104168542925	no
HPVVT-FJ-M06	Heterologous BPV control	primary_minus_pooled_recall	dose0_minus_mean_dose1_2_3_change		BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.3253855140694144	0.6307895658940657	-0.9109393169066096	1.5617103450454384	0.5158384533647461	0.605967243046811	1.252999217825434	0.5318387063433682	2.952036061206711	HPVVT-FJ-M06|Antibody abundance|primary_minus_pooled_recall	0.605967243046811	no
HPVVT-FJ-M06	Heterologous BPV control	recall_dose_contrast	dose2_minus_dose1_change		BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.3126740562655985	0.7631444106515447	-1.1830615036144745	1.8084096161456715	0.4097180715752722	0.6820127718477733	1.2420076470466717	0.440415911267474	3.5025596393259426	HPVVT-FJ-M06|Antibody abundance|recall_dose_contrast	0.7440139329248435	no
HPVVT-FJ-M06	Heterologous BPV control	recall_dose_contrast	dose3_minus_dose1_change		BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.8786496747493352	0.7824920786842636	-0.6550066176597037	2.412305967158374	1.1228863507816689	0.2614857651454102	1.8386535634359935	0.6350725781770715	5.323244999870367	HPVVT-FJ-M06|Antibody abundance|recall_dose_contrast	0.6190235792890516	no
