antigen_target	antigen_class	outcome_family	assay_family	feature	dose1_persistence_mean_log2	dose2_persistence_mean_log2	dose3_persistence_mean_log2
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	8.756847015112474	9.037479389359584	9.818362965400583
HPV33	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	11.201926711941303	11.007220412611916	10.861326227256926
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	2.5097503038469067	4.073575007934342	3.315530853961242
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	6.081393968926818	5.673857567345926	5.981312018436997
HPV33	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	2.5900706213362454	3.2966865502647584	2.8892822998420673
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	7.559203451750423	8.153786794062341	8.33097308573554
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	3.1344587173845633	3.127233042098059	5.69574099128062
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	6.823110021526865	6.707295755484779	8.059188265509754
HPV33	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	1.8844566622525925	2.169510830446884	1.8482904640138882
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	8.346753351082786	7.796181288167797	8.997963615420094
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	4.07833184954063	7.509355090925804	5.806347764368564
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	8.750243556218349	9.734332504769696	9.713549899809848
HPV45	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	10.077242112412085	9.573876521047584	9.45561333300715
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	4.553588049635723	6.272897364978822	6.081789328690308
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	4.152407331555884	4.314043336480156	5.360902422164247
