mechanistic_axis	metric	raw_effect	raw_q_value	bpv_calibrated_effect	bpv_calibrated_q_value	analysis_type	bpv_calibration_status	comparison
fc_receptor_communication	minimum_cross_reactive_score	-0.1778587160331413	0.30461297486102523	-0.18113056182029388	0.2824467078921192	recall_dose_trend	not_fdr_significant	
fc_receptor_communication	positive_antigen_count	0.0014318635495359393	0.9913368563631901	-0.2098646252593659	0.25926981048196157	recall_dose_trend	direction_changed_after_bpv_calibration	
fc_receptor_communication	twofold_antigen_count	-0.11501086049484534	0.5087372000581961	-0.009002981075100924	0.9455697816541384	recall_dose_trend	not_fdr_significant	
global_shared_serology	cross_antigen_standard_deviation	-0.1793914726181137	0.30461297486102523	-0.1793914726181137	0.2824467078921192	recall_dose_trend	not_fdr_significant	
global_shared_serology	mean_cross_reactive_score	-0.3048711799686411	0.06126988984620805	-0.3189312740269455	0.15603137117238733	recall_dose_trend	not_fdr_significant	
global_shared_serology	median_cross_reactive_score	-0.35032330793070676	0.029128929251931647	-0.3418341945370135	0.15603137117238733	recall_dose_trend	attenuated_after_bpv_calibration	
global_shared_serology	minimum_cross_reactive_score	-0.1659503764114328	0.3120684987661136	-0.1933041862355553	0.2824467078921192	recall_dose_trend	not_fdr_significant	
global_shared_serology	positive_antigen_count	-0.08103665850587922	0.6798489159214556	-0.10463371244767906	0.5114984760928015	recall_dose_trend	not_fdr_significant	
global_shared_serology	twofold_antigen_count	-0.035838838982383506	0.8198966089916994	-0.21833860584462716	0.25926981048196157	recall_dose_trend	not_fdr_significant	
igg_subclass_architecture	cross_antigen_standard_deviation	-0.05081677600946894	0.7634152815306127	-0.05081677600946894	0.7302233127684121	recall_dose_trend	not_fdr_significant	
igg_subclass_architecture	mean_cross_reactive_score	-0.35097178187050276	0.029128929251931647	-0.25638301492480325	0.2447357514303746	recall_dose_trend	attenuated_after_bpv_calibration	
igg_subclass_architecture	median_cross_reactive_score	-0.2696767306906214	0.09915651491229249	-0.20957498690680057	0.25926981048196157	recall_dose_trend	not_fdr_significant	
igg_subclass_architecture	minimum_cross_reactive_score	-0.3650318759288071	0.029128929251931647	-0.16612723294046808	0.2824467078921192	recall_dose_trend	attenuated_after_bpv_calibration	
igg_subclass_architecture	positive_antigen_count	-0.3724217182310013	0.029128929251931647	-0.11306412758978251	0.49227418462065053	recall_dose_trend	attenuated_after_bpv_calibration	
igg_subclass_architecture	twofold_antigen_count	-0.35391910441066426	0.029128929251931647	-0.1666241588385287	0.2824467078921192	recall_dose_trend	attenuated_after_bpv_calibration	
binding_antibody_abundance	cross_antigen_standard_deviation	-0.060142508634593694	0.8908925185229098	-0.060142508634593916	0.8336949832637034	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
binding_antibody_abundance	cross_antigen_standard_deviation	-0.27426068801505066	0.667600084270493	-0.27426068801505066	0.6159436323358249	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
binding_antibody_abundance	cross_antigen_standard_deviation	-0.21411817938045696	0.9783927640008413	-0.21411817938045674	0.9783927640008413	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
binding_antibody_abundance	mean_cross_reactive_score	-0.5019251819374098	0.4913473132699374	-0.0765657474050474	0.4014778900238963	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
binding_antibody_abundance	mean_cross_reactive_score	-0.7479701140789734	0.17522889671293354	-0.5489654192124159	0.23721482655226936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
binding_antibody_abundance	mean_cross_reactive_score	-0.24604493214156364	0.5091950573961057	-0.4723996718073685	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
binding_antibody_abundance	median_cross_reactive_score	-0.5922950223427947	0.4913473132699374	-0.3194441189693027	0.4014778900238963	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
binding_antibody_abundance	median_cross_reactive_score	-0.9177588278586526	0.12454327726848338	-0.704645328840185	0.23721482655226936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
binding_antibody_abundance	median_cross_reactive_score	-0.32546380551585785	0.3772399421954749	-0.3852012098708824	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
binding_antibody_abundance	minimum_cross_reactive_score	-0.40366136110257816	0.6077001333329334	-0.12011106041851247	0.4014778900238963	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
binding_antibody_abundance	minimum_cross_reactive_score	-0.5114706983727829	0.3280627450767878	-0.42838302893025904	0.28705490194218936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
binding_antibody_abundance	minimum_cross_reactive_score	-0.10780933727020481	0.9108839511975533	-0.30827196851174654	0.9783927640008413	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
binding_antibody_abundance	positive_antigen_count	0.0	1.0	-0.5	0.33857463096578694	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
binding_antibody_abundance	positive_antigen_count	0.0	0.48818039432569016	-0.5	0.32788207663655067	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
binding_antibody_abundance	positive_antigen_count	0.0	0.7268979233311192	0.0	0.9783927640008413	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
binding_antibody_abundance	twofold_antigen_count	-1.0	0.5156817873976274	-1.0	0.33857463096578694	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
binding_antibody_abundance	twofold_antigen_count	-2.0	0.43836421620679494	-1.0	0.23721482655226936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
binding_antibody_abundance	twofold_antigen_count	-1.0	0.9108839511975533	0.0	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
fc_receptor_communication	cross_antigen_standard_deviation	0.15419440998907463	0.989002608063866	0.1541944099890744	0.8603995721551486	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
fc_receptor_communication	cross_antigen_standard_deviation	0.17593761583316025	0.667600084270493	0.17593761583316003	0.6159436323358249	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
fc_receptor_communication	cross_antigen_standard_deviation	0.021743205844085622	0.9783927640008413	0.021743205844085622	0.9783927640008413	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
fc_receptor_communication	mean_cross_reactive_score	-0.8749559664340536	0.4913473132699374	-1.524810440922642	0.2685148629158725	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
fc_receptor_communication	mean_cross_reactive_score	-0.5384464999094076	0.3280627450767878	-1.105753666999004	0.2730275071594345	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
