matrix_representation	principal_component	component_number	feature_column	loading	absolute_loading	squared_loading	contribution_percent	antigen_target	assay_feature	feature_family
raw_log2_change	PC1	1	HPV16__IgA2	-0.09953457082991295	0.09953457082991295	0.009907130790294958	0.9907130790294958	HPV16	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	HPV16__IgG	-0.15739024504671376	0.15739024504671376	0.024771689235864605	2.4771689235864605	HPV16	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	HPV16__IgG1	-0.1561822061240449	0.1561822061240449	0.02439288150977365	2.4392881509773647	HPV16	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	HPV16__IgG2	0.03953234524594018	0.03953234524594018	0.0015628063206442092	0.15628063206442092	HPV16	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	HPV16__IgG3	-0.05687135495275963	0.05687135495275963	0.003234351014162777	0.32343510141627774	HPV16	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	HPV16__IgG4	0.05486648834655003	0.05486648834655003	0.00301033154348211	0.30103315434821104	HPV16	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	HPV16__IgM	-0.08549539095942597	0.08549539095942597	0.007309461875305096	0.7309461875305097	HPV16	IgM	binding_antibody_abundance
raw_log2_change	PC1	1	HPV16__nAb	0.04645672458973127	0.04645672458973127	0.002158227259606142	0.21582272596061422	HPV16	nAb	neutralization
raw_log2_change	PC1	1	HPV18__ADCP	0.04046885577763386	0.04046885577763386	0.0016377282879509293	0.16377282879509295	HPV18	ADCP	phagocytic_function
raw_log2_change	PC1	1	HPV18__FcgR2A	0.03634593341174042	0.03634593341174042	0.0013210268755706688	0.1321026875570669	HPV18	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	HPV18__FcgR2B	-0.037433836466047164	0.037433836466047164	0.0014012921125667625	0.14012921125667624	HPV18	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	HPV18__FcgR3A	-0.024758751746507466	0.024758751746507466	0.0006129957880451865	0.06129957880451865	HPV18	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	HPV18__IgA1	-0.04620215720921754	0.04620215720921754	0.0021346393307852523	0.21346393307852524	HPV18	IgA1	binding_antibody_abundance
raw_log2_change	PC1	1	HPV18__IgA2	-0.03779002577012015	0.03779002577012015	0.0014280860477063452	0.14280860477063453	HPV18	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	HPV18__IgG	-0.03776561315184094	0.03776561315184094	0.0014262415367345012	0.14262415367345013	HPV18	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	HPV18__IgG1	-0.052775432244190096	0.052775432244190096	0.0027852462485610996	0.27852462485610996	HPV18	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	HPV18__IgG2	0.07956955311201279	0.07956955311201279	0.006331313782445424	0.6331313782445425	HPV18	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	HPV18__IgG3	0.02702265083376968	0.02702265083376968	0.0007302236580838332	0.07302236580838332	HPV18	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	HPV18__IgG4	0.08532966255851095	0.08532966255851095	0.007281151312349345	0.7281151312349344	HPV18	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	HPV18__IgM	-0.018527396855988986	0.018527396855988986	0.00034326443425931056	0.03432644342593105	HPV18	IgM	binding_antibody_abundance
raw_log2_change	PC1	1	HPV18__nAb	0.13000807292978528	0.13000807292978528	0.01690209902691637	1.6902099026916368	HPV18	nAb	neutralization
raw_log2_change	PC1	1	HPV31__FcgR2A	0.11226691833337275	0.11226691833337275	0.012603860952072186	1.2603860952072186	HPV31	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	HPV31__FcgR2B	0.1147544118124429	0.1147544118124429	0.013168575030419736	1.3168575030419736	HPV31	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	HPV31__FcgR3A	0.15325713799935547	0.15325713799935547	0.023487750347753487	2.3487750347753487	HPV31	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	HPV31__IgA1	0.08942027349586734	0.08942027349586734	0.007995985312075715	0.7995985312075715	HPV31	IgA1	binding_antibody_abundance
raw_log2_change	PC1	1	HPV31__IgA2	0.06761680539052449	0.06761680539052449	0.004572032371220062	0.45720323712200617	HPV31	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	HPV31__IgG	0.15590274349695415	0.15590274349695415	0.024305665429877082	2.4305665429877084	HPV31	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	HPV31__IgG1	0.15191290209147007	0.15191290209147007	0.02307752982185257	2.3077529821852574	HPV31	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	HPV31__IgG2	0.1336790227484478	0.1336790227484478	0.01787008112298003	1.7870081122980028	HPV31	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	HPV31__IgG3	0.1502662375514706	0.1502662375514706	0.02257994214787499	2.257994214787499	HPV31	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	HPV31__IgG4	0.08231238208561956	0.08231238208561956	0.006775328244609023	0.6775328244609022	HPV31	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	HPV31__IgM	0.029117200552721476	0.029117200552721476	0.0008478113680274038	0.08478113680274038	HPV31	IgM	binding_antibody_abundance
raw_log2_change	PC1	1	HPV33__FcgR2A	0.13497895726529996	0.13497895726529996	0.018219318904427673	1.8219318904427673	HPV33	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	HPV33__FcgR2B	0.059654759417002275	0.059654759417002275	0.0035586903211004216	0.35586903211004217	HPV33	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	HPV33__FcgR3A	0.12533584277173826	0.12533584277173826	0.015709073483301892	1.5709073483301892	HPV33	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	HPV33__IgA1	0.02473489909583179	0.02473489909583179	0.0006118152332809804	0.061181523328098036	HPV33	IgA1	binding_antibody_abundance
raw_log2_change	PC1	1	HPV33__IgA2	0.020285749448994486	0.020285749448994486	0.0004115116307073801	0.04115116307073801	HPV33	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	HPV33__IgG	0.15289812700910949	0.15289812700910949	0.023377837242893777	2.3377837242893778	HPV33	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	HPV33__IgG1	0.15651673149019854	0.15651673149019854	0.024497487236374908	2.449748723637491	HPV33	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	HPV33__IgG2	0.03968010124237412	0.03968010124237412	0.0015745104346050604	0.15745104346050603	HPV33	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	HPV33__IgG3	0.09101675976828671	0.09101675976828671	0.008284050558718016	0.8284050558718016	HPV33	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	HPV33__IgG4	0.03322643476593173	0.03322643476593173	0.0011039959672547166	0.11039959672547166	HPV33	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	HPV33__IgM	0.017234417096953888	0.017234417096953888	0.0002970251326717765	0.029702513267177648	HPV33	IgM	binding_antibody_abundance
raw_log2_change	PC1	1	HPV45__FcgR2A	0.12289559522114056	0.12289559522114056	0.015103327324758426	1.5103327324758427	HPV45	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	HPV45__FcgR2B	0.1342025404554007	0.1342025404554007	0.01801032186468346	1.8010321864683458	HPV45	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	HPV45__FcgR3A	0.17257472621624387	0.17257472621624387	0.02978203612861153	2.978203612861153	HPV45	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	HPV45__IgA1	0.03773170130421022	0.03773170130421022	0.0014236812833101392	0.14236812833101392	HPV45	IgA1	binding_antibody_abundance
raw_log2_change	PC1	1	HPV45__IgA2	0.026831606138272766	0.026831606138272766	0.0007199350879593967	0.07199350879593967	HPV45	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	HPV45__IgG	0.18467361276501354	0.18467361276501354	0.03410434325168217	3.410434325168217	HPV45	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	HPV45__IgG1	0.18551643357581307	0.18551643357581307	0.03441634712668906	3.441634712668906	HPV45	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	HPV45__IgG2	0.10497567949579115	0.10497567949579115	0.011019893285603067	1.1019893285603066	HPV45	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	HPV45__IgG3	0.10021317145417372	0.10021317145417372	0.010042679732903619	1.0042679732903619	HPV45	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	HPV45__IgG4	0.03585561418780565	0.03585561418780565	0.0012856250687847696	0.12856250687847695	HPV45	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	HPV45__IgM	0.036685122940836326	0.036685122940836326	0.0013457982451842757	0.13457982451842757	HPV45	IgM	binding_antibody_abundance
raw_log2_change	PC1	1	HPV52__FcgR2A	0.11851619281956462	0.11851619281956462	0.01404608796044422	1.404608796044422	HPV52	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	HPV52__FcgR2B	0.13543653257610386	0.13543653257610386	0.01834305435623804	1.834305435623804	HPV52	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	HPV52__FcgR3A	0.18048404759921272	0.18048404759921272	0.03257449143779488	3.257449143779488	HPV52	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	HPV52__IgA1	0.07513513245417794	0.07513513245417794	0.005645288128906863	0.5645288128906862	HPV52	IgA1	binding_antibody_abundance
raw_log2_change	PC1	1	HPV52__IgA2	-0.04166521049156448	0.04166521049156448	0.0017359897653063745	0.17359897653063747	HPV52	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	HPV52__IgG	0.19056462197952023	0.19056462197952023	0.03631487515019745	3.631487515019745	HPV52	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	HPV52__IgG1	0.18650781051868892	0.18650781051868892	0.03478516338447517	3.4785163384475166	HPV52	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	HPV52__IgG2	0.09861160258207276	0.09861160258207276	0.009724248163804659	0.9724248163804659	HPV52	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	HPV52__IgG3	0.15895569601894952	0.15895569601894952	0.025266913296868684	2.5266913296868685	HPV52	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	HPV52__IgG4	0.05334904425524959	0.05334904425524959	0.002846120522948579	0.2846120522948579	HPV52	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	HPV52__IgM	0.015222415161220372	0.015222415161220372	0.00023172192334055183	0.023172192334055184	HPV52	IgM	binding_antibody_abundance
raw_log2_change	PC1	1	HPV58__FcgR2A	0.12834606924736652	0.12834606924736652	0.0164727134912498	1.6472713491249802	HPV58	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	HPV58__FcgR2B	0.13656043683578098	0.13656043683578098	0.018648752908779327	1.8648752908779327	HPV58	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	HPV58__FcgR3A	0.17997623228125925	0.17997623228125925	0.03239144418615778	3.239144418615778	HPV58	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	HPV58__IgA1	0.07181455472045117	0.07181455472045117	0.005157330269696676	0.5157330269696676	HPV58	IgA1	binding_antibody_abundance
raw_log2_change	PC1	1	HPV58__IgA2	0.03249570869878991	0.03249570869878991	0.0010559710838366103	0.10559710838366103	HPV58	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	HPV58__IgG	0.180629892357611	0.180629892357611	0.03262715801312214	3.262715801312214	HPV58	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	HPV58__IgG1	0.18385988494251762	0.18385988494251762	0.03380445729107582	3.380445729107582	HPV58	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	HPV58__IgG2	0.12341901360451923	0.12341901360451923	0.015232252919112503	1.5232252919112503	HPV58	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	HPV58__IgG3	0.15403344749494796	0.15403344749494796	0.023726302947178892	2.372630294717889	HPV58	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	HPV58__IgG4	0.06401628452989398	0.06401628452989398	0.004098084685012344	0.40980846850123437	HPV58	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	HPV58__IgM	-0.02444503746357873	0.02444503746357873	0.0005975598565957676	0.059755985659576766	HPV58	IgM	binding_antibody_abundance
raw_log2_change	PC2	2	BPV__FcgR2A	-0.016957294787245197	0.016957294787245197	0.00028754984650153316	0.028754984650153317	BPV	FcgR2A	fc_receptor_communication
raw_log2_change	PC2	2	BPV__FcgR2B	-0.029449223664305166	0.029449223664305166	0.0008672567744302714	0.08672567744302714	BPV	FcgR2B	fc_receptor_communication
raw_log2_change	PC2	2	BPV__FcgR3A	0.0012036599288444139	0.0012036599288444139	1.4487972243057394e-06	0.00014487972243057393	BPV	FcgR3A	fc_receptor_communication
raw_log2_change	PC2	2	BPV__IgA1	-0.06546821088516686	0.06546821088516686	0.00428608663650468	0.428608663650468	BPV	IgA1	binding_antibody_abundance
raw_log2_change	PC2	2	BPV__IgA2	-0.006791558213482429	0.006791558213482429	4.612526296712064e-05	0.004612526296712064	BPV	IgA2	binding_antibody_abundance
raw_log2_change	PC2	2	BPV__IgG	-0.0018806705153731895	0.0018806705153731895	3.5369215873940584e-06	0.00035369215873940586	BPV	IgG	binding_antibody_abundance
raw_log2_change	PC2	2	BPV__IgG1	0.009187305458438214	0.009187305458438214	8.440658158664861e-05	0.008440658158664861	BPV	IgG1	igg_subclass_architecture
raw_log2_change	PC2	2	BPV__IgG2	-0.027547384654140326	0.027547384654140326	0.0007588584012831659	0.07588584012831659	BPV	IgG2	igg_subclass_architecture
raw_log2_change	PC2	2	BPV__IgG3	0.0031749133149381924	0.0031749133149381924	1.0080074557371822e-05	0.0010080074557371822	BPV	IgG3	igg_subclass_architecture
raw_log2_change	PC2	2	BPV__IgG4	0.022231786171221346	0.022231786171221346	0.0004942523163629087	0.04942523163629087	BPV	IgG4	igg_subclass_architecture
raw_log2_change	PC2	2	BPV__IgM	0.032669196782452156	0.032669196782452156	0.0010672764184105823	0.10672764184105822	BPV	IgM	binding_antibody_abundance
raw_log2_change	PC2	2	HPV16__ADCP	0.20935263934780596	0.20935263934780596	0.043828527601892514	4.382852760189252	HPV16	ADCP	phagocytic_function
raw_log2_change	PC2	2	HPV16__FcgR2A	0.04844166390151596	0.04844166390151596	0.002346594801547435	0.23465948015474347	HPV16	FcgR2A	fc_receptor_communication
raw_log2_change	PC2	2	HPV16__FcgR2B	0.14180814582156717	0.14180814582156717	0.020109550221350858	2.010955022135086	HPV16	FcgR2B	fc_receptor_communication
raw_log2_change	PC2	2	HPV16__FcgR3A	0.16774461231974164	0.16774461231974164	0.028138254962300418	2.813825496230042	HPV16	FcgR3A	fc_receptor_communication
raw_log2_change	PC2	2	HPV16__IgA1	0.20912439771554853	0.20912439771554853	0.04373301371989092	4.373301371989092	HPV16	IgA1	binding_antibody_abundance
raw_log2_change	PC2	2	HPV16__IgA2	0.21655071034681136	0.21655071034681136	0.046894210151708596	4.6894210151708595	HPV16	IgA2	binding_antibody_abundance
raw_log2_change	PC2	2	HPV16__IgG	0.19436733851510632	0.19436733851510632	0.037778662281445934	3.7778662281445934	HPV16	IgG	binding_antibody_abundance
raw_log2_change	PC2	2	HPV16__IgG1	0.1996694910504838	0.1996694910504838	0.039867905656359226	3.9867905656359226	HPV16	IgG1	igg_subclass_architecture
raw_log2_change	PC2	2	HPV16__IgG2	0.11929598579096666	0.11929598579096666	0.01423153222583852	1.423153222583852	HPV16	IgG2	igg_subclass_architecture
raw_log2_change	PC2	2	HPV16__IgG3	0.18334804413742217	0.18334804413742217	0.033616505289018106	3.3616505289018104	HPV16	IgG3	igg_subclass_architecture
raw_log2_change	PC2	2	HPV16__IgG4	0.10366678969389317	0.10366678969389317	0.010746803285437876	1.0746803285437876	HPV16	IgG4	igg_subclass_architecture
raw_log2_change	PC2	2	HPV16__IgM	0.22568116282711723	0.22568116282711723	0.0509319872549998	5.093198725499979	HPV16	IgM	binding_antibody_abundance
raw_log2_change	PC2	2	HPV16__nAb	0.22063250795932124	0.22063250795932124	0.04867870356841995	4.867870356841995	HPV16	nAb	neutralization
raw_log2_change	PC2	2	HPV18__ADCP	0.17067249997307277	0.17067249997307277	0.029129102247058523	2.9129102247058523	HPV18	ADCP	phagocytic_function
raw_log2_change	PC2	2	HPV18__FcgR2A	0.029289285812294924	0.029289285812294924	0.0008578622633943008	0.08578622633943007	HPV18	FcgR2A	fc_receptor_communication
raw_log2_change	PC2	2	HPV18__FcgR2B	0.15471880110718547	0.15471880110718547	0.023937907416044818	2.393790741604482	HPV18	FcgR2B	fc_receptor_communication
raw_log2_change	PC2	2	HPV18__FcgR3A	0.17412842542083823	0.17412842542083823	0.03032070853954042	3.032070853954042	HPV18	FcgR3A	fc_receptor_communication
raw_log2_change	PC2	2	HPV18__IgA1	0.20783004398711216	0.20783004398711216	0.043193327183684974	4.319332718368497	HPV18	IgA1	binding_antibody_abundance
raw_log2_change	PC2	2	HPV18__IgA2	0.1140414853500289	0.1140414853500289	0.013005460380840857	1.3005460380840856	HPV18	IgA2	binding_antibody_abundance
raw_log2_change	PC2	2	HPV18__IgG	0.2719276768306137	0.2719276768306137	0.07394466142649468	7.394466142649468	HPV18	IgG	binding_antibody_abundance
raw_log2_change	PC2	2	HPV18__IgG1	0.2694673076272781	0.2694673076272781	0.07261262987989413	7.261262987989412	HPV18	IgG1	igg_subclass_architecture
raw_log2_change	PC2	2	HPV18__IgG2	0.04505175017310709	0.04505175017310709	0.002029660193660055	0.2029660193660055	HPV18	IgG2	igg_subclass_architecture
raw_log2_change	PC2	2	HPV18__IgG3	0.13570113922469793	0.13570113922469793	0.01841479918688085	1.841479918688085	HPV18	IgG3	igg_subclass_architecture
raw_log2_change	PC2	2	HPV18__IgG4	0.012367383924524874	0.012367383924524874	0.00015295218513659627	0.015295218513659628	HPV18	IgG4	igg_subclass_architecture
raw_log2_change	PC2	2	HPV18__IgM	0.1517232506752986	0.1517232506752986	0.023019944795479495	2.3019944795479494	HPV18	IgM	binding_antibody_abundance
raw_log2_change	PC2	2	HPV18__nAb	0.12188515996926302	0.12188515996926302	0.014855992220732837	1.4855992220732837	HPV18	nAb	neutralization
raw_log2_change	PC2	2	HPV31__FcgR2A	0.024982624802689334	0.024982624802689334	0.0006241315420319483	0.06241315420319483	HPV31	FcgR2A	fc_receptor_communication
raw_log2_change	PC2	2	HPV31__FcgR2B	0.1593947661666937	0.1593947661666937	0.025406691481334964	2.5406691481334964	HPV31	FcgR2B	fc_receptor_communication
raw_log2_change	PC2	2	HPV31__FcgR3A	0.12060785274419596	0.12060785274419596	0.014546254143565656	1.4546254143565656	HPV31	FcgR3A	fc_receptor_communication
raw_log2_change	PC2	2	HPV31__IgA1	0.057697117690843666	0.057697117690843666	0.003328957389831065	0.3328957389831065	HPV31	IgA1	binding_antibody_abundance
raw_log2_change	PC2	2	HPV31__IgA2	0.02859792615971228	0.02859792615971228	0.000817841380636356	0.0817841380636356	HPV31	IgA2	binding_antibody_abundance
raw_log2_change	PC2	2	HPV31__IgG	0.15634539186587215	0.15634539186587215	0.02444388155769312	2.444388155769312	HPV31	IgG	binding_antibody_abundance
raw_log2_change	PC2	2	HPV31__IgG1	0.1467954901100263	0.1467954901100263	0.021548915916642826	2.1548915916642826	HPV31	IgG1	igg_subclass_architecture
raw_log2_change	PC2	2	HPV31__IgG2	0.00265649348109205	0.00265649348109205	7.056957615084558e-06	0.0007056957615084558	HPV31	IgG2	igg_subclass_architecture
raw_log2_change	PC2	2	HPV31__IgG3	0.06662959983512225	0.06662959983512225	0.004439503574188522	0.44395035741885225	HPV31	IgG3	igg_subclass_architecture
raw_log2_change	PC2	2	HPV31__IgG4	-0.1048049453187123	0.1048049453187123	0.010984076563258276	1.0984076563258276	HPV31	IgG4	igg_subclass_architecture
raw_log2_change	PC2	2	HPV31__IgM	0.0699393071565976	0.0699393071565976	0.004891506685544904	0.4891506685544904	HPV31	IgM	binding_antibody_abundance
raw_log2_change	PC2	2	HPV33__FcgR2A	-0.013014922413012915	0.013014922413012915	0.00016938820541674592	0.01693882054167459	HPV33	FcgR2A	fc_receptor_communication
raw_log2_change	PC2	2	HPV33__FcgR2B	0.03582313489849841	0.03582313489849841	0.0012832969939560145	0.12832969939560146	HPV33	FcgR2B	fc_receptor_communication
raw_log2_change	PC2	2	HPV33__FcgR3A	-0.02413925872558284	0.02413925872558284	0.0005827038118206273	0.05827038118206273	HPV33	FcgR3A	fc_receptor_communication
raw_log2_change	PC2	2	HPV33__IgA1	0.009784854020787537	0.009784854020787537	9.574336820812204e-05	0.009574336820812204	HPV33	IgA1	binding_antibody_abundance
raw_log2_change	PC2	2	HPV33__IgA2	0.05610971855394021	0.05610971855394021	0.003148300516202382	0.3148300516202382	HPV33	IgA2	binding_antibody_abundance
raw_log2_change	PC2	2	HPV33__IgG	0.06254440866176372	0.06254440866176372	0.003911803054849705	0.39118030548497046	HPV33	IgG	binding_antibody_abundance
raw_log2_change	PC2	2	HPV33__IgG1	0.005555853529760495	0.005555853529760495	3.086750844415216e-05	0.003086750844415216	HPV33	IgG1	igg_subclass_architecture
raw_log2_change	PC2	2	HPV33__IgG2	0.046788290081603075	0.046788290081603075	0.0021891440887602366	0.21891440887602368	HPV33	IgG2	igg_subclass_architecture
raw_log2_change	PC2	2	HPV33__IgG3	0.019334790156454278	0.019334790156454278	0.0003738341103941212	0.037383411039412125	HPV33	IgG3	igg_subclass_architecture
raw_log2_change	PC2	2	HPV33__IgG4	-0.016449518658875405	0.016449518658875405	0.0002705866641086901	0.027058666410869008	HPV33	IgG4	igg_subclass_architecture
raw_log2_change	PC2	2	HPV33__IgM	0.10678357032643448	0.10678357032643448	0.01140273089166058	1.140273089166058	HPV33	IgM	binding_antibody_abundance
raw_log2_change	PC2	2	HPV45__FcgR2A	-0.04148231393389363	0.04148231393389363	0.0017207823693101056	0.17207823693101057	HPV45	FcgR2A	fc_receptor_communication
raw_log2_change	PC2	2	HPV45__FcgR2B	0.007121544904025202	0.007121544904025202	5.071640182004733e-05	0.005071640182004733	HPV45	FcgR2B	fc_receptor_communication
raw_log2_change	PC2	2	HPV45__FcgR3A	0.03546298571445743	0.03546298571445743	0.001257623355783812	0.1257623355783812	HPV45	FcgR3A	fc_receptor_communication
raw_log2_change	PC2	2	HPV45__IgA1	-0.015767990066671584	0.015767990066671584	0.00024862951074265373	0.024862951074265373	HPV45	IgA1	binding_antibody_abundance
raw_log2_change	PC2	2	HPV45__IgA2	-0.07484804273183969	0.07484804273183969	0.0056022295007873	0.56022295007873	HPV45	IgA2	binding_antibody_abundance
raw_log2_change	PC2	2	HPV45__IgG	0.01706278162690545	0.01706278162690545	0.0002911385168474622	0.02911385168474622	HPV45	IgG	binding_antibody_abundance
raw_log2_change	PC2	2	HPV45__IgG1	-0.0016711897516176657	0.0016711897516176657	2.7928751859119153e-06	0.00027928751859119155	HPV45	IgG1	igg_subclass_architecture
raw_log2_change	PC2	2	HPV45__IgG2	-0.033627074823108685	0.033627074823108685	0.00113078016115895	0.11307801611589499	HPV45	IgG2	igg_subclass_architecture
raw_log2_change	PC2	2	HPV45__IgG3	0.05192343705215712	0.05192343705215712	0.002696043315309323	0.2696043315309323	HPV45	IgG3	igg_subclass_architecture
raw_log2_change	PC2	2	HPV45__IgG4	-0.07253011678891055	0.07253011678891055	0.005260617841413005	0.5260617841413004	HPV45	IgG4	igg_subclass_architecture
raw_log2_change	PC2	2	HPV45__IgM	0.03796203869746685	0.03796203869746685	0.0014411163820679707	0.14411163820679707	HPV45	IgM	binding_antibody_abundance
raw_log2_change	PC2	2	HPV52__FcgR2A	-0.01308954142683769	0.01308954142683769	0.00017133609476490007	0.017133609476490008	HPV52	FcgR2A	fc_receptor_communication
raw_log2_change	PC2	2	HPV52__FcgR2B	0.050806177885059624	0.050806177885059624	0.0025812677112883216	0.25812677112883214	HPV52	FcgR2B	fc_receptor_communication
raw_log2_change	PC2	2	HPV52__FcgR3A	0.03158776430223045	0.03158776430223045	0.0009977868536132646	0.09977868536132646	HPV52	FcgR3A	fc_receptor_communication
raw_log2_change	PC2	2	HPV52__IgA1	0.056386498746784565	0.056386498746784565	0.0031794372409211374	0.31794372409211374	HPV52	IgA1	binding_antibody_abundance
raw_log2_change	PC2	2	HPV52__IgA2	0.08820573234859366	0.08820573234859366	0.007780251219151743	0.7780251219151743	HPV52	IgA2	binding_antibody_abundance
raw_log2_change	PC2	2	HPV52__IgG	0.03831030095952922	0.03831030095952922	0.0014676791596097054	0.14676791596097055	HPV52	IgG	binding_antibody_abundance
raw_log2_change	PC2	2	HPV52__IgG1	0.04588546178432277	0.04588546178432277	0.0021054756031605453	0.21054756031605454	HPV52	IgG1	igg_subclass_architecture
raw_log2_change	PC2	2	HPV52__IgG2	-0.05366504370356661	0.05366504370356661	0.0028799369157057144	0.2879936915705714	HPV52	IgG2	igg_subclass_architecture
