matrix_type	variable_id	antigen_target	feature	antigen_class	assay_family	outcome_family	maximum_paired_floor_severity	available_participants	missing_participants	mean	standard_deviation	variance	evaluated_trajectories	raw_fdr_significant_trajectories	claim_ready_trajectories	qualified_trajectories	primary_claim_ready	recall_claim_ready_doses
bpv_calibrated_log2_change	HPV33__FcgR2B	HPV33	FcgR2B	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	none	80	0	0.41911288447930894	2.4525673534348735	6.015086623134541	4	4	0	4	no	
bpv_calibrated_log2_change	HPV33__FcgR3A	HPV33	FcgR3A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	high	80	0	1.782658506242899	2.8263497341237276	7.988252819581265	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV33__IgA1	HPV33	IgA1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.500795812463348	3.261322843437911	10.63622668912994	4	3	0	3	no	
bpv_calibrated_log2_change	HPV33__IgA2	HPV33	IgA2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	high	80	0	1.1941108384135735	3.498805290562857	12.241638461270636	4	1	1	0	yes	
bpv_calibrated_log2_change	HPV33__IgG	HPV33	IgG	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.7543441419543881	1.2452331339552132	1.550605557899922	4	3	2	1	no	1,2
bpv_calibrated_log2_change	HPV33__IgG1	HPV33	IgG1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	0.6769011615798991	0.9848051326322476	0.9698411492588188	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV33__IgG2	HPV33	IgG2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	0.32890556019875095	3.719725626747967	13.836358738285554	4	1	0	1	no	
bpv_calibrated_log2_change	HPV33__IgG3	HPV33	IgG3	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	0.6467413380783082	3.1315197600620803	9.80641600765927	4	2	1	1	no	2
bpv_calibrated_log2_change	HPV33__IgG4	HPV33	IgG4	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	0.2117457567590581	2.700292008316633	7.291576930178675	4	0	0	0	no	
bpv_calibrated_log2_change	HPV33__IgM	HPV33	IgM	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.1143355999508455	0.7600164878674122	0.5776250618303163	4	0	0	0	no	
bpv_calibrated_log2_change	HPV45__FcgR2A	HPV45	FcgR2A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	1.3868777314201537	4.640720767551165	21.536289242380672	4	3	2	1	no	2,3
bpv_calibrated_log2_change	HPV45__FcgR2B	HPV45	FcgR2B	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	2.4927629952860535	3.5740923594081204	12.774136193579505	4	3	2	1	no	1,3
bpv_calibrated_log2_change	HPV45__FcgR3A	HPV45	FcgR3A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	high	80	0	3.5411085344821758	3.496326229988377	12.224297106504737	4	4	3	1	no	1,2,3
bpv_calibrated_log2_change	HPV45__IgA1	HPV45	IgA1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.952290193429271	3.9823356493008077	15.858997223692086	4	4	0	4	no	
bpv_calibrated_log2_change	HPV45__IgA2	HPV45	IgA2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	high	80	0	-0.6894043850210678	5.904371655391056	34.86160464498533	4	0	0	0	no	
bpv_calibrated_log2_change	HPV45__IgG	HPV45	IgG	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	2.573544262771385	1.978910572293153	3.916087053133614	4	4	4	0	yes	1,2,3
bpv_calibrated_log2_change	HPV45__IgG1	HPV45	IgG1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	2.5775806814821145	1.788791232446488	3.199774073277426	4	4	4	0	yes	1,2,3
bpv_calibrated_log2_change	HPV45__IgG2	HPV45	IgG2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	1.044811890968401	3.75553435896656	14.104038321378372	4	2	1	1	no	2
bpv_calibrated_log2_change	HPV45__IgG3	HPV45	IgG3	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	low	80	0	1.024405725605106	2.8460954395389244	8.100259250964262	4	2	0	2	no	
bpv_calibrated_log2_change	HPV45__IgG4	HPV45	IgG4	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	0.9114968576994105	2.7591906033169327	7.613132785432459	4	1	0	1	no	
bpv_calibrated_log2_change	HPV45__IgM	HPV45	IgM	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.534605574979955	1.3078091132792489	1.710364676776255	4	2	1	1	yes	
bpv_calibrated_log2_change	HPV52__FcgR2A	HPV52	FcgR2A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	high	80	0	2.067932360312753	4.3969556722500585	19.333219183731963	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV52__FcgR2B	HPV52	FcgR2B	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	high	80	0	2.414104580465617	4.264484104709425	18.185824679319346	4	3	2	1	no	1,3
bpv_calibrated_log2_change	HPV52__FcgR3A	HPV52	FcgR3A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	2.914421914435409	3.697928915244804	13.674678262203612	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV52__IgA1	HPV52	IgA1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	moderate	80	0	0.43472012135768656	3.5860949269332405	12.860076824976325	4	3	0	3	no	
bpv_calibrated_log2_change	HPV52__IgA2	HPV52	IgA2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	high	80	0	0.5178559227400554	4.081874138501486	16.661696482567248	4	1	1	0	yes	
bpv_calibrated_log2_change	HPV52__IgG	HPV52	IgG	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	2.255308460916114	2.0197925078587757	4.079561774802443	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV52__IgG1	HPV52	IgG1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	2.0520138472043	2.0194790027059946	4.078295442370399	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV52__IgG2	HPV52	IgG2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	1.4582639755123017	3.792389452828392	14.38221776192403	4	2	2	0	no	1,2
bpv_calibrated_log2_change	HPV52__IgG3	HPV52	IgG3	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	low	80	0	2.5911624480945337	3.7139374534959466	13.793331408479956	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV52__IgG4	HPV52	IgG4	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	1.0807024895438582	2.470432499701746	6.1030367355826165	4	2	1	1	no	2
bpv_calibrated_log2_change	HPV52__IgM	HPV52	IgM	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.1372578352462601	1.0588701119477244	1.1212059139761863	4	0	0	0	no	
bpv_calibrated_log2_change	HPV58__FcgR2A	HPV58	FcgR2A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	2.205889403609751	4.163087224679469	17.331295240289403	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV58__FcgR2B	HPV58	FcgR2B	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	1.7330244547683775	3.012649129996691	9.076054780469818	4	3	2	1	no	1,3
bpv_calibrated_log2_change	HPV58__FcgR3A	HPV58	FcgR3A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	high	80	0	3.2912190758050306	3.476764994077873	12.087894824045314	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV58__IgA1	HPV58	IgA1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.26268905006863463	2.719404163479688	7.395159004350662	4	4	0	4	no	
bpv_calibrated_log2_change	HPV58__IgA2	HPV58	IgA2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	high	80	0	1.309919149840137	4.70410277990704	22.128582963929144	4	2	0	2	no	
bpv_calibrated_log2_change	HPV58__IgG	HPV58	IgG	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	2.0195147027927	1.7358898268063458	3.0133134908097654	4	4	4	0	yes	1,2,3
bpv_calibrated_log2_change	HPV58__IgG1	HPV58	IgG1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	1.9737009955445068	1.5759934615620197	2.4837553908862375	4	4	3	1	no	1,2,3
bpv_calibrated_log2_change	HPV58__IgG2	HPV58	IgG2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	0.8454128913757073	3.796106803973139	14.41042686717116	4	2	1	1	no	1
bpv_calibrated_log2_change	HPV58__IgG3	HPV58	IgG3	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	low	80	0	2.3038602892513986	2.704301722469611	7.313247806152105	4	3	2	1	no	1,2
bpv_calibrated_log2_change	HPV58__IgG4	HPV58	IgG4	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	1.0557723956959395	2.521593113212084	6.35843182859861	4	2	2	0	no	2,3
bpv_calibrated_log2_change	HPV58__IgM	HPV58	IgM	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.07020896487174225	0.8889760416498974	0.7902784026275201	4	0	0	0	no	
raw_log2_change	BPV__FcgR2A	BPV	FcgR2A	heterologous_control_antigen	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	0.47504530768756403	2.2678755565698823	5.143259540087153	4	1	0	0	no	
raw_log2_change	BPV__FcgR2B	BPV	FcgR2B	heterologous_control_antigen	fc_gamma_receptor_binding	Fc-receptor engagement	high	80	0	0.9865307470921634	2.2893990974758958	5.241348227523446	4	1	0	0	no	
raw_log2_change	BPV__FcgR3A	BPV	FcgR3A	heterologous_control_antigen	fc_gamma_receptor_binding	Fc-receptor engagement	high	80	0	0.8351046792911344	1.6231998959802005	2.634777902310134	4	2	0	0	no	
raw_log2_change	BPV__IgA1	BPV	IgA1	heterologous_control_antigen	antibody_isotype_or_subclass	Antibody abundance	low	80	0	0.7454871992773393	2.4819877746332955	6.160263313429138	4	1	0	0	no	
raw_log2_change	BPV__IgA2	BPV	IgA2	heterologous_control_antigen	antibody_isotype_or_subclass	Antibody abundance	high	80	0	0.46251130921946526	2.4662938297601062	6.082605254712771	4	0	0	0	no	
raw_log2_change	BPV__IgG	BPV	IgG	heterologous_control_antigen	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.6980140838522869	1.2044369045910628	1.4506682571409006	4	2	0	0	no	
raw_log2_change	BPV__IgG1	BPV	IgG1	heterologous_control_antigen	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	0.6731724826348314	0.9295025586821407	0.8639750065966464	4	2	0	0	no	
raw_log2_change	BPV__IgG2	BPV	IgG2	heterologous_control_antigen	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	0.29746172481502614	2.0850467407090143	4.347419910941283	4	0	0	0	no	
raw_log2_change	BPV__IgG3	BPV	IgG3	heterologous_control_antigen	antibody_isotype_or_subclass	IgG subclass architecture	low	80	0	0.832364606372684	3.3303210750961805	11.09103846322978	4	1	0	0	no	
raw_log2_change	BPV__IgG4	BPV	IgG4	heterologous_control_antigen	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	-0.09752478929230342	1.5415207363442258	2.376286180579244	4	0	0	0	no	
raw_log2_change	BPV__IgM	BPV	IgM	heterologous_control_antigen	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.03298223009519498	0.7814221276143163	0.6106205415252849	4	0	0	0	no	
raw_log2_change	HPV16__ADCP	HPV16	ADCP	vaccine_target_2vHPV_and_4vHPV	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	80	0	1.464179712648747	0.9178047469945371	0.8423655536057062	4	4	4	0	yes	1,2,3
raw_log2_change	HPV16__FcgR2A	HPV16	FcgR2A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	0.33037071454949923	4.980766943050938	24.808039340988987	4	2	0	2	no	
raw_log2_change	HPV16__FcgR2B	HPV16	FcgR2B	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	2.140398295444636	3.9945286503513384	15.956259138477686	4	2	1	1	yes	
raw_log2_change	HPV16__FcgR3A	HPV16	FcgR3A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	2.3810725093868057	3.401134316854131	11.567714641282814	4	4	1	3	yes	
raw_log2_change	HPV16__IgA1	HPV16	IgA1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	2.460211065860655	2.958712735427978	8.753981050783707	4	3	1	2	yes	
raw_log2_change	HPV16__IgA2	HPV16	IgA2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	high	80	0	4.5209328818897445	4.514913549562749	20.384444360025306	4	4	3	1	yes	1,3
raw_log2_change	HPV16__IgG	HPV16	IgG	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.8608519442911908	3.0538592412397683	9.326056265305533	4	1	1	0	yes	
raw_log2_change	HPV16__IgG1	HPV16	IgG1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	2.0076718736981505	2.9537815914009324	8.724825689699024	4	4	1	3	yes	
raw_log2_change	HPV16__IgG2	HPV16	IgG2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	moderate	80	0	1.2096320825994824	3.158324869476541	9.97501598115401	4	1	1	0	no	1
raw_log2_change	HPV16__IgG3	HPV16	IgG3	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	3.9198152321396904	3.0977878377788564	9.596289487890601	4	4	2	2	yes	3
raw_log2_change	HPV16__IgG4	HPV16	IgG4	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	moderate	80	0	0.9998305719505087	2.452333985192579	6.013941974930517	4	1	1	0	no	1
raw_log2_change	HPV16__IgM	HPV16	IgM	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.5972789991725227	2.2359797850077214	4.999605598963176	4	2	2	0	yes	1
raw_log2_change	HPV16__nAb	HPV16	nAb	vaccine_target_2vHPV_and_4vHPV	neutralizing_antibody	Neutralization	moderate	80	0	4.5125	2.3706739414581794	5.620094936708861	4	4	4	0	yes	1,2,3
raw_log2_change	HPV18__ADCP	HPV18	ADCP	vaccine_target_2vHPV_and_4vHPV	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	80	0	0.6730919261087447	0.42429782004934175	0.1800286400986236	4	4	4	0	yes	1,2,3
raw_log2_change	HPV18__FcgR2A	HPV18	FcgR2A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	0.6555212132445302	4.573885619751271	20.920429662567475	4	2	0	2	no	
raw_log2_change	HPV18__FcgR2B	HPV18	FcgR2B	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	none	80	0	1.7656654482434793	2.1525730975043427	4.63357094009944	4	3	1	2	yes	
raw_log2_change	HPV18__FcgR3A	HPV18	FcgR3A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	2.524416756765773	3.1896548978920203	10.173898367646554	4	3	1	2	yes	
raw_log2_change	HPV18__IgA1	HPV18	IgA1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	2.4396211723000514	2.0281274683893566	4.11330102803542	4	4	1	3	yes	
raw_log2_change	HPV18__IgA2	HPV18	IgA2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	high	80	0	4.364953008568802	4.126559278499628	17.02849147897137	4	4	2	2	yes	1
raw_log2_change	HPV18__IgG	HPV18	IgG	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	2.2039634733130278	1.93754679657358	3.754087588912542	4	4	2	2	yes	1
raw_log2_change	HPV18__IgG1	HPV18	IgG1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	2.3721596917034455	1.6842309351617266	2.836633842955744	4	4	4	0	yes	1,2,3
raw_log2_change	HPV18__IgG2	HPV18	IgG2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	low	80	0	1.9004537873829317	2.8141069905398797	7.919198154205419	4	2	1	1	no	1
raw_log2_change	HPV18__IgG3	HPV18	IgG3	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	3.4043417019792996	2.5101876031735895	6.30104180312637	4	4	2	2	yes	2
raw_log2_change	HPV18__IgG4	HPV18	IgG4	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	1.376150644503118	3.060277340532652	9.365297400977601	4	3	1	2	no	1
raw_log2_change	HPV18__IgM	HPV18	IgM	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.8772306763082792	0.9789362203635353	0.9583161235396442	4	4	3	1	yes	1,3
raw_log2_change	HPV18__nAb	HPV18	nAb	vaccine_target_2vHPV_and_4vHPV	neutralizing_antibody	Neutralization	high	80	0	5.1	2.0037938699920512	4.015189873417721	4	4	4	0	yes	1,2,3
raw_log2_change	HPV31__FcgR2A	HPV31	FcgR2A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	1.8481911846928167	5.103557856872056	26.046302798440493	4	3	2	1	no	1,2
raw_log2_change	HPV31__FcgR2B	HPV31	FcgR2B	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	3.3760344845298085	3.355731760408815	11.260935647816444	4	4	3	1	yes	1,3
