antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	observations	participants	fit_status	fit_method	converged	log_likelihood	residual_variance	random_intercept_variance	warnings
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-199.5876199860062	0.29224721264923376	0.7153976088196689	
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	160	80	success	mixedlm_powell	True	-171.50856721635927	0.38086747925279324	0.1371920048080525	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	160	80	success	mixedlm_lbfgs	False	-388.66268006293353	7.5001335482761915	0.04136931010991541	Gradient optimization failed, |grad| = 7.240530 | Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Random effects covariance is singular | The Hessian matrix at the estimated parameter values is not positive definite.
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-322.24673772687254	2.658073369167968	0.7042744534586943	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	low	160	80	success	mixedlm_powell	True	-317.5725666567454	2.5939928054871273	0.5567608754646327	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-327.05931944616384	2.4654278068309217	1.239752825260205	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_powell	True	-401.73648499404624	5.138510097707096	5.104051609394448	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-240.3770416042471	1.0213436780664187	0.17278322760338138	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-254.4052202458089	1.0458912842872117	0.4248273807150606	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	moderate	160	80	success	mixedlm_powell	True	-383.0962246990157	4.599916196491063	3.0788468392487616	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-363.1697834902692	3.811848108248814	2.038208852335141	Random effects covariance is singular
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	moderate	160	80	success	mixedlm_lbfgs	True	-348.6806223328597	2.580341205092499	2.765810490165278	
HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-283.4583462371435	1.433479925991082	0.7129424628796704	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	moderate	160	80	success	mixedlm_powell	True	-316.5000771192812	2.3279536778525425	0.8469806730568853	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	160	80	success	mixedlm_powell	True	-64.23928373488735	0.07971408687012269	0.0672838810417323	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	160	80	success	mixedlm_powell	True	-387.48939728302514	7.431594209115062	7.685173449213526e-10	The MLE may be on the boundary of the parameter space. | mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	none	160	80	success	mixedlm_powell	True	-312.39339489483143	2.0291925459520486	1.0673342632691531	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	low	160	80	success	mixedlm_lbfgs	True	-368.96638894912064	4.667137664849185	1.3901112409279837	Random effects covariance is singular
HPV18	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-315.84518098617366	1.6880397048424296	1.8842299171546881	
HPV18	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_powell	True	-433.33726143821	7.919549234586002	7.010572686423737	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-258.66674292209143	1.314562654673845	0.1815574356080805	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-254.65732697837882	0.9692750880588124	0.5445180762075306	Random effects covariance is singular
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	low	160	80	success	mixedlm_powell	True	-351.35414262332324	3.5223960137661314	1.4153999791784733	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-352.91555249522696	2.893601576444497	2.5740179677894606	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_powell	True	-385.29743245469297	4.182777723011901	4.158470398626778	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV18	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-208.61763322808645	0.4506761332566923	0.47481648717937786	
HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	high	160	80	success	mixedlm_powell	True	-304.4310015128634	1.6745983309352552	1.2301186373989068	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	160	80	success	mixedlm_powell	True	-417.7347310218156	10.846116292275216	9.404175427019685e-09	The MLE may be on the boundary of the parameter space. | mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-389.1387975980979	5.008980901500385	3.2405453622074782	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-371.70782118095894	4.492653595678506	1.8963853755923368	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	160	80	success	mixedlm_lbfgs	True	-364.23000691658126	3.113753536990914	3.4012100091773414	
HPV31	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_powell	True	-456.2822611515045	10.874831873236936	8.740763147584	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-316.6747221075981	2.254035238971019	0.9589747317217847	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-315.28095390608667	2.1022934681949166	1.1088218080510939	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_powell	True	-372.6489234020671	4.376956555942678	2.1649695663656585	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-418.27326201451365	7.137069584836171	4.784525444598884	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV31	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_lbfgs	True	-314.1312068138634	1.7120477395175713	1.7211378748843302	
HPV31	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-281.68633590878017	1.2099606152727274	1.0154136033606358	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV33	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-376.0024146677745	6.437582726538319	1.9708725892521336e-09	The MLE may be on the boundary of the parameter space. | mixedlm_lbfgs: LinAlgError: Singular matrix
HPV33	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	none	160	80	success	mixedlm_powell	True	-291.29465217411223	1.297556236471917	1.2724839814695093	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV33	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	160	80	success	mixedlm_powell	True	-346.9331628028176	2.7893414736334297	2.1970170214438105	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV33	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-339.55312558599223	2.5744470168431337	1.948627855033955	Random effects covariance is singular
HPV33	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_lbfgs	True	-411.04048563770573	4.159267777822301	9.882806621135424	
HPV33	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-238.41673268860325	0.858816220506875	0.34451506243095054	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV33	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-220.10008224165415	0.5012067403735165	0.5882975688554037	
HPV33	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_lbfgs	True	-388.78207404934653	3.508678695627039	6.374441956385276	
HPV33	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-337.61653849473396	2.626437819003847	1.7086747133703035	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV33	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-336.40070445602316	2.171376665618926	2.4600801771510143	
HPV33	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-139.53881140972175	0.11801113734722628	0.4164628798731419	
HPV45	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-416.88670256153375	10.407485859714955	0.3293165243211088	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV45	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_lbfgs	True	-366.614023385785	3.1159546083674705	3.700879737274531	
HPV45	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	160	80	success	mixedlm_powell	True	-364.4789915953786	3.7781189653243543	2.222684309891818	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV45	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-344.6824569626	2.7800371719143047	2.0165169803007887	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV45	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_powell	True	-470.32121244403083	15.529239810294163	6.338616615502023	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV45	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-293.0481650546234	1.5478254862391847	0.9088749833019627	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV45	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-287.084403712994	1.3359577272672818	1.0116289906502653	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV45	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_lbfgs	True	-390.96119849769934	4.137222776918603	5.211192425131384	
HPV45	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	160	80	success	mixedlm_powell	True	-366.3975704396597	3.8662312739586837	2.2823402593856397	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV45	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-347.13339102834925	2.118581590355862	3.6932845959430134	
HPV45	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-245.29556835780625	0.8001212311450221	0.5865102896405031	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	high	160	80	success	mixedlm_powell	True	-425.16403784750617	10.229316977209994	1.8089827495214652	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	160	80	success	mixedlm_powell	True	-413.85264538488	6.564567286407237	4.849076654553401	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-372.15360172862256	4.276823065025914	2.262132910826505	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	moderate	160	80	success	mixedlm_lbfgs	True	-385.002940090414	2.9361015994704442	7.370204333103633	
HPV52	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_lbfgs	True	-414.5638904372106	4.970650294528427	8.446139241225545	
HPV52	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-310.4387874199898	1.7779187483177517	1.3738902947233784	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-307.2752405197101	1.6085000424384894	1.5067436795603748	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_lbfgs	True	-379.27568999785	3.831983536902372	3.952562856538365	
HPV52	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	160	80	success	mixedlm_powell	True	-408.5442467327525	6.543174770270156	3.872480660395741	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_powell	True	-324.70423462080373	1.9667059102664475	1.938869775195424	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV52	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-227.39338986973496	0.5544638685992058	0.6327660159065657	
HPV58	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-397.1882580727179	8.389460027919807	8.390270496236818e-10	The MLE may be on the boundary of the parameter space. | mixedlm_lbfgs: LinAlgError: Singular matrix
HPV58	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	low	160	80	success	mixedlm_powell	True	-346.77228470733303	2.9015235459882542	1.9882007872642113	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV58	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	160	80	success	mixedlm_lbfgs	True	-363.390464764399	3.582615958937975	2.4284047720623185	Random effects covariance is singular
HPV58	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-279.45357247919276	0.81023589748326	1.8833162801279082	
HPV58	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_lbfgs	True	-436.3386565800944	7.184510393568682	9.442740624021003	
HPV58	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-260.3963039848476	1.038480403770102	0.5895259163411083	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV58	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-266.274781120533	0.8957325976195012	1.0410991741209688	
HPV58	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-365.25282368571845	3.0998878226202558	3.5593098275023594	
HPV58	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	160	80	success	mixedlm_powell	True	-376.68933214508036	4.829590325893047	1.9499960010046484	mixedlm_lbfgs: LinAlgError: Singular matrix
HPV58	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-320.07161135583135	1.6998796348079097	2.1612386664651555	
HPV58	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_lbfgs	True	-167.2744588078632	0.23102247294568054	0.37036586947957106	
