antigen_target	antigen_class	visit	feature	assay_family	observations	unique_participants	minimum	minimum_count	minimum_fraction	zero_count	zero_fraction	q1	median	mean	q3	maximum	standard_deviation	skewness	unique_values	possible_lower_bound_accumulation	discrete_titer_or_ordinal_assay
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG2	antibody_isotype_or_subclass	80	80	1.0	12	0.15	0	0.0	18.825	1151.85	2527.7949999999996	3041.1499999999996	27347.2	4656.159178025803	3.992561962808571	69	yes	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG2	antibody_isotype_or_subclass	80	80	0.2000000000000028	1	0.0125	0	0.0	133.27499999999998	1687.6	4091.55875	5171.325	28133.0	6092.523810660634	2.216839184380896	74	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG3	antibody_isotype_or_subclass	80	80	1.0	2	0.025	0	0.0	138.89999999999998	752.0	7925.70875	10054.325	32664.5	11925.896658932725	1.3149219761478765	79	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG3	antibody_isotype_or_subclass	80	80	109.8	1	0.0125	0	0.0	7834.375	28394.4	21732.04375	32526.5	32701.8	12427.057064914603	-0.6189546786347737	77	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG4	antibody_isotype_or_subclass	80	80	0.7000000000000028	1	0.0125	0	0.0	1.0	41.85	273.355	136.875	3694.5	626.6985476247226	3.3568683481539923	58	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG4	antibody_isotype_or_subclass	80	80	1.0	15	0.1875	0	0.0	9.625	56.1	439.41375000000005	329.025	6413.7	1028.2862375157224	4.08864960387136	62	yes	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgM	antibody_isotype_or_subclass	80	80	137.5	1	0.0125	0	0.0	591.2249999999999	1252.25	3087.7087500000002	3420.75	31035.5	4903.372648512005	3.446669925150224	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgM	antibody_isotype_or_subclass	80	80	462.5	1	0.0125	0	0.0	2101.9750000000004	4540.75	7169.14375	8219.175	32701.0	7758.306090271265	1.8157499587395842	80	no	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	nAb	neutralizing_antibody	80	80	50.0	20	0.25	0	0.0	87.5	1600.0	4430.0	5600.0	25600.0	6472.3736181685745	1.6939530448919469	9	yes	yes
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	nAb	neutralizing_antibody	80	80	200.0	4	0.05	0	0.0	12800.0	51200.0	58375.0	51200.0	819200.0	97519.82271715229	6.256408246197515	12	yes	yes
