trajectory	previous_4vHPV_doses	direction	antigen_target	antigen_class	feature	assay_family	outcome_family	participants	mean_log2_change	ci95_lower_log2_change	ci95_upper_log2_change	geometric_mean_ratio	positive_change_fraction	paired_floor_severity	floor_interpretation
recall_after_1_previous_4vHPV_doses	1	positive	HPV45	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	6.018662477327074	4.415801740594167	7.62152321405998	64.83327190447967	0.95	high	requires_two_part_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	20	5.75	4.555585615385607	6.944414384614393	53.81737057623773	1.0	moderate	requires_above_floor_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV52	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	5.692508219630346	4.084563470502902	7.30045296875779	51.71490421983983	0.95	moderate	requires_above_floor_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV58	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	5.505721553370764	4.033542622625412	6.977900484116115	45.43466553237625	0.95	low	continuous_interpretation_with_floor_summary
recall_after_1_previous_4vHPV_doses	1	positive	HPV31	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	5.399575353412487	3.776980318251699	7.022170388573276	42.211826577841464	1.0	moderate	requires_above_floor_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV31	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	5.080293889823286	3.3251834327364795	6.835404346910093	33.831468367342154	0.95	moderate	requires_above_floor_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV52	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	5.072012448298682	2.759795675815955	7.384229220781409	33.63782333361848	0.95	high	requires_two_part_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV31	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	20	5.041652973623409	4.0391257082499	6.044180238996917	32.93735895293997	1.0	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV33	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	-0.030446370413626588	-0.7540846922649037	0.6931919514376504	0.9791173114356991	0.3	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV58	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	0.15085635286802787	-0.14350046956152931	0.4452131752975851	1.1102282842441433	0.6	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV33	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	0.2337468368742762	-0.03961854025931963	0.507112214007872	1.1758848887202322	0.7	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV45	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	0.289984359919485	-0.6124524136410185	1.1924211334799886	1.2226270232701764	0.45	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV52	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	0.2960263287674475	-0.3158023164663145	0.9078549740012095	1.2277580899408338	0.45	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV45	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	0.41554917338179964	-0.12430294511703932	0.9554012918806386	1.3338063044840804	0.55	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	0.567756456232795	-0.6673365856436637	1.8028494981092538	1.4822167731849423	0.75	moderate	requires_above_floor_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	negative	HPV58	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	0.7684966264857342	-0.24505451925570232	1.7820477722271708	1.7034937171620887	0.4	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV18	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	20	0.8213861852978122	0.47271679383908227	1.1700555767565421	1.7671030635500509	0.9	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	0.8734429211837551	-0.657083555408724	2.403969397776234	1.8320297371675602	0.8	low	continuous_interpretation_with_floor_summary
recall_after_1_previous_4vHPV_doses	1	negative	HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	20	0.9053317994925928	0.6720482117707617	1.1386153872144238	1.8729752031942415	1.0	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	20	0.9236340941015235	-0.009336165438829758	1.8566043536418768	1.8968874680671604	0.8	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	positive	HPV31	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	21	5.8215405651358685	4.210728704252432	7.432352426019305	56.55334936777773	0.9523809523809523	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	positive	HPV45	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	21	5.7771702456410985	4.58479655751092	6.969543933771277	54.84051619417462	1.0	high	requires_two_part_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	positive	HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	21	5.238095238095238	4.450927618271749	6.025262857918727	37.74190236471566	1.0	high	requires_two_part_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	positive	HPV58	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	21	4.961473050805968	3.811947527243306	6.11099857436863	31.156754405955223	1.0	high	requires_two_part_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	positive	HPV31	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	21	4.901327733755285	2.528825961787954	7.273829505722617	29.88454627074185	0.7142857142857143	high	requires_two_part_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	positive	HPV52	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	21	4.787867908517309	3.236427557775636	6.339308259258981	27.624336506416707	1.0	moderate	requires_above_floor_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	positive	HPV45	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	21	4.684634540440045	3.267114465216489	6.102154615663601	25.716716390370433	0.9523809523809523	moderate	requires_above_floor_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	positive	HPV58	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	21	4.195767953699142	2.8268613286711135	5.56467457872717	18.325338642121796	0.9047619047619048	low	continuous_interpretation_with_floor_summary
recall_after_2_previous_4vHPV_doses	2	positive	HPV52	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	21	4.117724507598211	2.6686935397553717	5.566755475441051	17.360354556137633	0.9523809523809523	low	continuous_interpretation_with_floor_summary
recall_after_2_previous_4vHPV_doses	2	positive	HPV31	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	21	4.110380332860128	2.67335705144661	5.547403614273646	17.27220459735346	1.0	moderate	requires_above_floor_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	positive	HPV45	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	21	3.8836316572683707	3.058907358347212	4.708355956189529	14.760110912910427	1.0	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	positive	HPV52	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	21	3.8170290982875965	2.480036099385725	5.154022097189468	14.09419425455021	0.9047619047619048	high	requires_two_part_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	negative	HPV45	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	21	-0.3327411514153591	-2.039128829937456	1.3736465271067377	0.7940263824977895	0.38095238095238093	high	requires_two_part_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	negative	HPV58	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	21	-0.058912619225241075	-0.2600731044814324	0.14224786603095024	0.9599874035433242	0.3333333333333333	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	21	0.006394895647125291	-0.003030677271250376	0.01582046856550096	1.0044424424077758	0.6666666666666666	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	negative	HPV33	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	21	0.029746397062499343	-0.1932523016922696	0.2527450958172683	1.0208326637209417	0.42857142857142855	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	negative	HPV52	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	21	0.07113848981235786	-0.28629162904432276	0.4285686086690385	1.0505453850383335	0.38095238095238093	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	21	0.13239144966685695	0.030594475971014348	0.23418842336269957	1.09610913584226	0.8095238095238095	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	21	0.14025377040338438	0.012245093165762055	0.2682624476410067	1.1020989582984912	0.6666666666666666	moderate	requires_above_floor_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	21	0.24614099481396018	-0.38128600256064266	0.8735679921885631	1.1860304046857053	0.5714285714285714	none	standard_continuous_interpretation
recall_after_2_previous_4vHPV_doses	2	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	21	0.3647268484301326	0.05442273363844513	0.6750309632218201	1.2876378125018062	0.8095238095238095	low	continuous_interpretation_with_floor_summary
recall_after_2_previous_4vHPV_doses	2	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	21	0.4073493994965609	-0.5484641594247956	1.3631629584179175	1.3262469188831494	0.6190476190476191	moderate	requires_above_floor_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	negative	HPV52	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	21	0.4172285805384668	-1.017380729992587	1.8518378910695206	1.3353598608931732	0.3333333333333333	high	requires_two_part_sensitivity_analysis
recall_after_2_previous_4vHPV_doses	2	negative	HPV33	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	21	0.4172396897708764	-0.7941947197382908	1.6286740992800435	1.3353701436485312	0.47619047619047616	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	positive	HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	19	5.157894736842105	4.61870456409874	5.69708490958547	35.7010533683694	1.0	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV31	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	19	4.785306082490975	3.320771816997535	6.249840347984415	27.575326877515348	0.9473684210526315	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	positive	HPV31	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	19	4.571850710320103	2.3975668934930208	6.746134527147184	23.78286657916652	0.8421052631578947	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV45	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	19	4.358099361223715	2.913055615257096	5.803143107190334	20.507779148709158	0.9473684210526315	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV58	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	19	4.320035048492859	2.754683607659359	5.885386489326359	19.973774014683976	0.8947368421052632	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV52	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	19	4.106362138532975	2.9494781105388874	5.263246166527063	17.22416498294409	0.9473684210526315	moderate	requires_above_floor_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV52	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	19	3.9525569713179705	2.8208718590040247	5.084242083631916	15.482397302464577	0.8947368421052632	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV45	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	19	3.757959687739072	3.0403781485807007	4.475541226897443	13.528778567163478	1.0	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	19	3.736842105263157	2.685250080102192	4.788434130424122	13.332192102376705	0.9473684210526315	moderate	requires_above_floor_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV52	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	19	3.730942200292192	1.861082146392013	5.600802254192371	13.277781401672941	0.8947368421052632	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV58	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	19	3.665671163616598	1.9788273658973938	5.352514961335802	12.690448601896513	0.8947368421052632	moderate	requires_above_floor_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	positive	HPV33	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	19	3.6298339111919606	2.259188185723257	5.000479636660664	12.37909473553625	0.9473684210526315	moderate	requires_above_floor_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	negative	HPV52	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	19	-1.2764390407390132	-3.141493488476907	0.5886154069988807	0.4128131861034509	0.2631578947368421	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	negative	HPV33	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	19	-0.24289328216036346	-1.99726283373579	1.511476269415063	0.8450488913555422	0.3157894736842105	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	negative	HPV45	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	19	-0.06913347018498701	-3.2097318867663254	3.0714649463963517	0.9532103554461386	0.42105263157894735	high	requires_two_part_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	negative	HPV58	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	19	0.04229565947523808	-0.41456682124228134	0.49915814019275745	1.029751094399452	0.3157894736842105	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	19	0.061564689974616914	-0.040469312883796814	0.16359869283303063	1.0435969913029453	0.5789473684210527	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	negative	HPV33	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	19	0.09519678156351134	-0.11014183911261015	0.3005354022396328	1.0682111005950972	0.5789473684210527	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	19	0.1242531859870659	-0.09512368014168453	0.3436300521158163	1.089943375209467	0.47368421052631576	moderate	requires_above_floor_sensitivity_analysis
recall_after_3_previous_4vHPV_doses	3	negative	HPV52	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	19	0.14465695012662683	-0.41174595733068753	0.7010598575839412	1.1054677594617488	0.47368421052631576	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	negative	HPV33	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	19	0.19741264650058257	-1.1037846383076708	1.498609931308836	1.1466401062888694	0.3684210526315789	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	19	0.21287840867858532	0.044171885939493366	0.38158493141767724	1.1589982666241163	0.6842105263157895	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	negative	HPV33	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	19	0.2403816809346365	-0.6895305095303659	1.170293871399639	1.1813051474382728	0.5789473684210527	none	standard_continuous_interpretation
recall_after_3_previous_4vHPV_doses	3	negative	HPV52	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	19	0.2504407937538809	-0.4909071173218415	0.9917887048296032	1.1895705148492706	0.47368421052631576	moderate	requires_above_floor_sensitivity_analysis
