antigen_target	antigen_class	outcome_family	assay_family	feature	dose0_primary_mean_log2_change
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	-0.1840817662334134
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	-0.16576884987306478
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.04322578219433654
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	0.8254815685332485
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	2.1763461476242396
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	0.7339207789043733
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	0.283585800684748
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	-0.13337330587597362
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	1.0686274371236375
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	0.8332113437185569
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	0.6841035895221591
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	-0.5930982554460169
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	0.1571756362506112
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	-0.19873427044009512
