matrix_representation	cluster_count	cluster_label	marker_direction	marker_rank	feature_column	antigen_target	assay_feature	feature_family	cluster_mean_standardized_value
raw_log2_change	3	2	lowest_cluster_z_score	4	HPV58__IgG	HPV58	IgG	binding_antibody_abundance	-1.0581845369365097
raw_log2_change	3	2	lowest_cluster_z_score	5	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-1.055519901340294
raw_log2_change	3	3	highest_cluster_z_score	1	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	0.4815442208986415
raw_log2_change	3	3	highest_cluster_z_score	2	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	0.3768692282835381
raw_log2_change	3	3	highest_cluster_z_score	3	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	0.32004707987430364
raw_log2_change	3	3	highest_cluster_z_score	4	BPV__IgA1	BPV	IgA1	binding_antibody_abundance	0.2994432398799023
raw_log2_change	3	3	highest_cluster_z_score	5	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	0.2648814288924481
raw_log2_change	3	3	lowest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.6260469900557147
raw_log2_change	3	3	lowest_cluster_z_score	2	HPV16__IgA2	HPV16	IgA2	binding_antibody_abundance	-0.6082649680395966
raw_log2_change	3	3	lowest_cluster_z_score	3	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.5939041398138056
raw_log2_change	3	3	lowest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.592530070894511
raw_log2_change	3	3	lowest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	-0.585662757121992
raw_log2_change	4	1	highest_cluster_z_score	1	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	1.4897377268882044
raw_log2_change	4	1	highest_cluster_z_score	2	HPV31__IgG1	HPV31	IgG1	igg_subclass_architecture	1.4418475546804672
raw_log2_change	4	1	highest_cluster_z_score	3	HPV58__IgG	HPV58	IgG	binding_antibody_abundance	1.3350665667839199
raw_log2_change	4	1	highest_cluster_z_score	4	HPV33__IgG1	HPV33	IgG1	igg_subclass_architecture	1.2852112702888359
raw_log2_change	4	1	highest_cluster_z_score	5	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	1.2757403512103827
raw_log2_change	4	1	lowest_cluster_z_score	1	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.5420832344129781
raw_log2_change	4	1	lowest_cluster_z_score	2	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.3964998509357954
raw_log2_change	4	1	lowest_cluster_z_score	3	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.37555174015154513
raw_log2_change	4	1	lowest_cluster_z_score	4	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	-0.306154343720066
raw_log2_change	4	1	lowest_cluster_z_score	5	HPV18__FcgR2B	HPV18	FcgR2B	fc_receptor_communication	-0.23722891108687794
raw_log2_change	4	2	highest_cluster_z_score	1	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	0.6087720919902005
raw_log2_change	4	2	highest_cluster_z_score	2	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	0.45252385202311735
raw_log2_change	4	2	highest_cluster_z_score	3	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	0.4107302753469503
raw_log2_change	4	2	highest_cluster_z_score	4	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	0.4101912502349923
raw_log2_change	4	2	highest_cluster_z_score	5	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	0.37591801793644214
raw_log2_change	4	2	lowest_cluster_z_score	1	HPV16__IgA2	HPV16	IgA2	binding_antibody_abundance	-0.7987461340037936
raw_log2_change	4	2	lowest_cluster_z_score	2	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-0.7642104755191564
raw_log2_change	4	2	lowest_cluster_z_score	3	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	-0.7415122979527601
raw_log2_change	4	2	lowest_cluster_z_score	4	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	-0.7308006585025094
raw_log2_change	4	2	lowest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	-0.7079415854149229
raw_log2_change	4	3	highest_cluster_z_score	1	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.6445502119358881
raw_log2_change	4	3	highest_cluster_z_score	2	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.6250179616962608
raw_log2_change	4	3	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.585282401585818
raw_log2_change	4	3	highest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.4176400832569516
raw_log2_change	4	3	highest_cluster_z_score	5	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	1.2277364405008178
raw_log2_change	4	3	lowest_cluster_z_score	1	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-1.1625624302125173
raw_log2_change	4	3	lowest_cluster_z_score	2	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-1.1353201240461128
raw_log2_change	4	3	lowest_cluster_z_score	3	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-1.0997303377412624
raw_log2_change	4	3	lowest_cluster_z_score	4	HPV58__IgG	HPV58	IgG	binding_antibody_abundance	-1.0581845369365097
raw_log2_change	4	3	lowest_cluster_z_score	5	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-1.055519901340294
raw_log2_change	4	4	highest_cluster_z_score	1	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	0.8807332495163839
raw_log2_change	4	4	highest_cluster_z_score	2	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	0.790840895521396
raw_log2_change	4	4	highest_cluster_z_score	3	HPV52__FcgR2A	HPV52	FcgR2A	fc_receptor_communication	0.7180218150290972
raw_log2_change	4	4	highest_cluster_z_score	4	HPV31__FcgR2A	HPV31	FcgR2A	fc_receptor_communication	0.7111810291196512
raw_log2_change	4	4	highest_cluster_z_score	5	HPV58__FcgR2A	HPV58	FcgR2A	fc_receptor_communication	0.6812970654544501
raw_log2_change	4	4	lowest_cluster_z_score	1	HPV31__IgM	HPV31	IgM	binding_antibody_abundance	-0.7202061872805201
raw_log2_change	4	4	lowest_cluster_z_score	2	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.4719702624724769
raw_log2_change	4	4	lowest_cluster_z_score	3	BPV__FcgR3A	BPV	FcgR3A	fc_receptor_communication	-0.47146858689475846
raw_log2_change	4	4	lowest_cluster_z_score	4	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.4659387631887708
raw_log2_change	4	4	lowest_cluster_z_score	5	BPV__IgA1	BPV	IgA1	binding_antibody_abundance	-0.4631617283928208
raw_log2_change	5	1	highest_cluster_z_score	1	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	0.7432377429184505
raw_log2_change	5	1	highest_cluster_z_score	2	HPV45__FcgR2A	HPV45	FcgR2A	fc_receptor_communication	0.7149685513952265
raw_log2_change	5	1	highest_cluster_z_score	3	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	0.7065441069751474
raw_log2_change	5	1	highest_cluster_z_score	4	HPV52__FcgR2A	HPV52	FcgR2A	fc_receptor_communication	0.6592470975738149
raw_log2_change	5	1	highest_cluster_z_score	5	HPV31__IgA2	HPV31	IgA2	binding_antibody_abundance	0.6551084877563885
raw_log2_change	5	1	lowest_cluster_z_score	1	HPV31__IgM	HPV31	IgM	binding_antibody_abundance	-0.6119632291045894
raw_log2_change	5	1	lowest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.4819967346512562
raw_log2_change	5	1	lowest_cluster_z_score	3	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.4657716870753647
raw_log2_change	5	1	lowest_cluster_z_score	4	HPV52__IgM	HPV52	IgM	binding_antibody_abundance	-0.43273101226242844
raw_log2_change	5	1	lowest_cluster_z_score	5	BPV__IgA1	BPV	IgA1	binding_antibody_abundance	-0.4128028634352136
raw_log2_change	5	2	highest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.4798729973487716
raw_log2_change	5	2	highest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.462030707756586
raw_log2_change	5	2	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.33658167847622
raw_log2_change	5	2	highest_cluster_z_score	4	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	1.2575735105406884
raw_log2_change	5	2	highest_cluster_z_score	5	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	0.9802214885318544
raw_log2_change	5	2	lowest_cluster_z_score	1	HPV16__FcgR2A	HPV16	FcgR2A	fc_receptor_communication	-2.031836367312083
raw_log2_change	5	2	lowest_cluster_z_score	2	HPV18__FcgR2A	HPV18	FcgR2A	fc_receptor_communication	-1.9786422155593846
raw_log2_change	5	2	lowest_cluster_z_score	3	HPV31__FcgR2A	HPV31	FcgR2A	fc_receptor_communication	-1.7030968987652209
raw_log2_change	5	2	lowest_cluster_z_score	4	HPV45__FcgR2A	HPV45	FcgR2A	fc_receptor_communication	-1.6407412912123
raw_log2_change	5	2	lowest_cluster_z_score	5	HPV52__FcgR2A	HPV52	FcgR2A	fc_receptor_communication	-1.4898432555685361
raw_log2_change	5	3	highest_cluster_z_score	1	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	1.3854572697278098
raw_log2_change	5	3	highest_cluster_z_score	2	HPV31__IgG1	HPV31	IgG1	igg_subclass_architecture	1.315471754893119
raw_log2_change	5	3	highest_cluster_z_score	3	HPV58__IgG	HPV58	IgG	binding_antibody_abundance	1.2583658198937517
raw_log2_change	5	3	highest_cluster_z_score	4	HPV33__IgG1	HPV33	IgG1	igg_subclass_architecture	1.2096076536795117
raw_log2_change	5	3	highest_cluster_z_score	5	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	1.2081863281172331
raw_log2_change	5	3	lowest_cluster_z_score	1	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.5349470814967242
raw_log2_change	5	3	lowest_cluster_z_score	2	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.4220405518586592
raw_log2_change	5	3	lowest_cluster_z_score	3	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.38501152463257043
raw_log2_change	5	3	lowest_cluster_z_score	4	BPV__IgG2	BPV	IgG2	igg_subclass_architecture	-0.36949963234097766
