matrix_type	mechanistic_axis	analysis_stratum	metric	participants	mean	standard_deviation	median	first_quartile	third_quartile	minimum	maximum
bpv_calibrated_log2_change	fc_receptor_communication	recall_all_doses	twofold_antigen_count	60	3.5833333333333335	1.7201859050761343	4.0	3.0	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_all_doses	positive_antigen_fraction	60	0.8433333333333333	0.3060777937374893	1.0	0.8	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_all_doses	twofold_antigen_fraction	60	0.7166666666666667	0.34403718101522685	0.8	0.6	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose1	mean_cross_reactive_score	20	3.6342440116837365	2.6409438879449736	3.727219829506676	1.7762824574806602	5.324746200481847	-1.7883416443694418	8.106791112566004
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose1	median_cross_reactive_score	20	3.9021795677929774	2.8466139825616326	3.519441979295501	2.2299498421221586	5.7472046448811405	-1.58789104545414	8.757885113831323
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose1	minimum_cross_reactive_score	20	1.5406719885351732	2.1783417658870223	1.2215964534319037	0.47161177369223856	2.8451362706375503	-3.899180191980846	6.272367940423332
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose1	positive_antigen_count	20	4.7	1.1285761872936695	5.0	5.0	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose1	twofold_antigen_count	20	3.9	1.651155894963793	5.0	3.75	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose1	positive_antigen_fraction	20	0.9400000000000001	0.22571523745873395	1.0	1.0	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose1	twofold_antigen_fraction	20	0.78	0.3302311789927586	1.0	0.75	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose2	mean_cross_reactive_score	21	2.198346544784018	2.2234971530792813	2.202409388584034	1.1433723645514702	3.803699719357945	-2.408409383291983	6.589329253420113
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose2	median_cross_reactive_score	21	2.2483445443923493	2.550855978071574	2.2314867877642097	0.23186241926887327	4.229290111512847	-2.4102302545965943	7.638690948387809
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose2	minimum_cross_reactive_score	21	0.45010858845161905	1.6883706224137511	0.3737603513213892	-0.7690746332853973	1.396417934581196	-3.119566194629868	3.6314591950684587
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose2	positive_antigen_count	21	3.6666666666666665	1.9061304607327731	5.0	3.0	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose2	twofold_antigen_count	21	2.9523809523809526	1.8567765206451334	3.0	2.0	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose2	positive_antigen_fraction	21	0.7333333333333334	0.3812260921465546	1.0	0.6	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose2	twofold_antigen_fraction	21	0.5904761904761905	0.37135530412902673	0.6	0.4	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose3	mean_cross_reactive_score	19	2.4281140285226894	1.7149362819521514	2.6214661625076716	2.0220587552108595	3.2104414976208044	-2.511736398270739	5.921676154836
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose3	median_cross_reactive_score	19	2.3088594339200674	1.8006182093803633	2.320140668451183	1.9381250974085997	3.084776249602204	-2.8406146238094814	6.307763426195741
