matrix_representation	principal_component	component_number	explained_variance	explained_variance_ratio	explained_variance_percent	cumulative_variance_ratio	cumulative_variance_percent
bpv_calibrated_log2_change	PC5	5	3.9591659240219172	0.05077501753209928	5.077501753209928	0.4937558390357062	49.37558390357062
bpv_calibrated_log2_change	PC6	6	3.724408838558521	0.04776433413086416	4.776433413086416	0.5415201731665703	54.15201731665703
bpv_calibrated_log2_change	PC7	7	3.3279663791633567	0.0426800883042054	4.26800883042054	0.5842002614707758	58.42002614707758
bpv_calibrated_log2_change	PC8	8	3.1451683916738937	0.040335763464648976	4.033576346464898	0.6245360249354247	62.45360249354247
bpv_calibrated_log2_change	PC9	9	2.861450252958348	0.03669717045190091	3.6697170451900907	0.6612331953873256	66.12331953873256
bpv_calibrated_log2_change	PC10	10	2.4912699024629577	0.031949727645223004	3.1949727645223005	0.6931829230325486	69.31829230325486
bpv_calibrated_log2_change	PC11	11	2.002886585768222	0.025686370174624936	2.5686370174624935	0.7188692932071735	71.88692932071736
bpv_calibrated_log2_change	PC12	12	1.7287701267276234	0.022170915586279594	2.2170915586279594	0.7410402087934531	74.10402087934531
bpv_calibrated_log2_change	PC13	13	1.4733226992515662	0.018894885266375613	1.8894885266375612	0.7599350940598287	75.99350940598288
bpv_calibrated_log2_change	PC14	14	1.284781899219606	0.016476910720511186	1.6476910720511186	0.7764120047803399	77.641200478034
bpv_calibrated_log2_change	PC15	15	1.2324567720065824	0.015805857952681825	1.5805857952681825	0.7922178627330217	79.22178627330217
bpv_calibrated_log2_change	PC16	16	1.1370040083548687	0.014581707250005627	1.4581707250005627	0.8067995699830274	80.67995699830274
bpv_calibrated_log2_change	PC17	17	1.0459043525832767	0.013413383742545274	1.3413383742545275	0.8202129537255727	82.02129537255726
bpv_calibrated_log2_change	PC18	18	1.0004420872579136	0.012830344950223246	1.2830344950223247	0.833043298675796	83.3043298675796
bpv_calibrated_log2_change	PC19	19	0.8999252535959852	0.011541249193844619	1.1541249193844618	0.8445845478696405	84.45845478696405
bpv_calibrated_log2_change	PC20	20	0.887441558818065	0.011381149861465448	1.1381149861465447	0.855965697731106	85.5965697731106
bpv_calibrated_log2_change	PC21	21	0.8292934113883038	0.010635418749947407	1.0635418749947407	0.8666011164810534	86.66011164810534
bpv_calibrated_log2_change	PC22	22	0.7855793047609746	0.01007479952534367	1.007479952534367	0.876675916006397	87.66759160063971
bpv_calibrated_log2_change	PC23	23	0.6857720064284281	0.008794803329195753	0.8794803329195753	0.8854707193355928	88.54707193355928
bpv_calibrated_log2_change	PC24	24	0.6784582118471362	0.008701006288299314	0.8701006288299314	0.8941717256238921	89.41717256238921
bpv_calibrated_log2_change	PC25	25	0.5926988996312352	0.007601170953062922	0.7601170953062922	0.901772896576955	90.1772896576955
bpv_calibrated_log2_change	PC26	26	0.5585419870805137	0.007163119639506591	0.7163119639506591	0.9089360162164616	90.89360162164616
bpv_calibrated_log2_change	PC27	27	0.46884714053235527	0.006012812354229883	0.6012812354229883	0.9149488285706915	91.49488285706914
bpv_calibrated_log2_change	PC28	28	0.4642524118156111	0.005953886450232677	0.5953886450232677	0.9209027150209241	92.0902715020924
bpv_calibrated_log2_change	PC29	29	0.44444976665075847	0.00569992395542369	0.569992395542369	0.9266026389763479	92.66026389763479
bpv_calibrated_log2_change	PC30	30	0.43303671154938633	0.0055535552292859626	0.5553555229285962	0.9321561942056338	93.21561942056337
bpv_calibrated_log2_change	PC31	31	0.40572791544870257	0.005203328785786934	0.5203328785786934	0.9373595229914207	93.73595229914207
bpv_calibrated_log2_change	PC32	32	0.34921337138041714	0.004478548106989117	0.4478548106989117	0.9418380710984098	94.18380710984098
bpv_calibrated_log2_change	PC33	33	0.3322586972119648	0.004261109915543057	0.4261109915543057	0.9460991810139529	94.60991810139528
bpv_calibrated_log2_change	PC34	34	0.31188581738919713	0.003999834346387432	0.39998343463874314	0.9500990153603402	95.00990153603402
bpv_calibrated_log2_change	PC35	35	0.2930472419003421	0.0037582357321634795	0.37582357321634796	0.9538572510925037	95.38572510925037
bpv_calibrated_log2_change	PC36	36	0.26949690352296696	0.003456210288687402	0.3456210288687402	0.9573134613811911	95.73134613811911
bpv_calibrated_log2_change	PC37	37	0.2595001026282123	0.00332800456292675	0.332800456292675	0.9606414659441178	96.06414659441178
bpv_calibrated_log2_change	PC38	38	0.2553094895724328	0.0032742613110750326	0.32742613110750324	0.9639157272551928	96.39157272551928
bpv_calibrated_log2_change	PC39	39	0.24640066019235798	0.003160008466752644	0.3160008466752644	0.9670757357219455	96.70757357219455
bpv_calibrated_log2_change	PC40	40	0.21690392040528833	0.0027817223558470427	0.2781722355847043	0.9698574580777926	96.98574580777925
bpv_calibrated_log2_change	PC41	41	0.20501723603279007	0.0026292794880828606	0.26292794880828607	0.9724867375658754	97.24867375658755
bpv_calibrated_log2_change	PC42	42	0.1878280897131883	0.0024088342674256297	0.24088342674256297	0.9748955718333011	97.4895571833301
bpv_calibrated_log2_change	PC43	43	0.1750266324813287	0.0022446597347443135	0.22446597347443137	0.9771402315680454	97.71402315680454
bpv_calibrated_log2_change	PC44	44	0.16791263233067327	0.0021534249925524666	0.21534249925524665	0.9792936565605979	97.92936565605979
bpv_calibrated_log2_change	PC45	45	0.1580060088587451	0.00202637576296118	0.20263757629611798	0.981320032323559	98.1320032323559
bpv_calibrated_log2_change	PC46	46	0.1526820799610021	0.0019580981033959694	0.19580981033959693	0.983278130426955	98.3278130426955
bpv_calibrated_log2_change	PC47	47	0.13450875448364608	0.0017250311045792278	0.17250311045792277	0.9850031615315342	98.50031615315342
bpv_calibrated_log2_change	PC48	48	0.13019876527904456	0.0016697568923773577	0.16697568923773576	0.9866729184239116	98.66729184239117
bpv_calibrated_log2_change	PC49	49	0.11892161145117285	0.0015251310559484834	0.15251310559484835	0.9881980494798601	98.81980494798601
bpv_calibrated_log2_change	PC50	50	0.11106934553513105	0.0014244282950122331	0.1424428295012233	0.9896224777748723	98.96224777748724
bpv_calibrated_log2_change	PC51	51	0.09866908542837828	0.001265398985201605	0.1265398985201605	0.990887876760074	99.0887876760074
bpv_calibrated_log2_change	PC52	52	0.08364822125981623	0.0010727612791437474	0.10727612791437474	0.9919606380392177	99.19606380392177
bpv_calibrated_log2_change	PC53	53	0.07743502529266008	0.0009930790581363876	0.09930790581363877	0.9929537170973541	99.29537170973542
bpv_calibrated_log2_change	PC54	54	0.07317611673785995	0.0009384599386835938	0.09384599386835939	0.9938921770360377	99.38921770360378
bpv_calibrated_log2_change	PC55	55	0.06367191109432706	0.0008165715870863375	0.08165715870863376	0.9947087486231241	99.47087486231241
bpv_calibrated_log2_change	PC56	56	0.05845665876404683	0.0007496876692142372	0.07496876692142372	0.9954584362923383	99.54584362923383
bpv_calibrated_log2_change	PC57	57	0.04999418734982139	0.0006411592208824499	0.06411592208824499	0.9960995955132208	99.60995955132208
bpv_calibrated_log2_change	PC58	58	0.048670568456358934	0.0006241842383201879	0.06241842383201879	0.996723779751541	99.6723779751541
bpv_calibrated_log2_change	PC59	59	0.0404420019246135	0.0005186555441630629	0.051865554416306296	0.9972424352957041	99.72424352957042
bpv_calibrated_log2_change	PC60	60	0.037455507925773485	0.00048035472826884844	0.04803547282688484	0.9977227900239729	99.77227900239728
bpv_calibrated_log2_change	PC61	61	0.0324121845400411	0.00041567574328948823	0.04156757432894882	0.9981384657672624	99.81384657672623
bpv_calibrated_log2_change	PC62	62	0.029207230380781574	0.00037457324676651706	0.03745732467665171	0.9985130390140289	99.85130390140289
bpv_calibrated_log2_change	PC63	63	0.021344506116790576	0.0002737363609133857	0.027373636091338572	0.9987867753749423	99.87867753749423
bpv_calibrated_log2_change	PC64	64	0.020332857693686583	0.00026076229834435724	0.026076229834435725	0.9990475376732867	99.90475376732867
bpv_calibrated_log2_change	PC65	65	0.016141796385021303	0.00020701329779491612	0.02070132977949161	0.9992545509710816	99.92545509710816
bpv_calibrated_log2_change	PC66	66	0.012212611943193412	0.00015662278303770776	0.015662278303770778	0.9994111737541194	99.94111737541193
bpv_calibrated_log2_change	PC67	67	0.009944472354450533	0.00012753462922103772	0.012753462922103772	0.9995387083833404	99.95387083833404
bpv_calibrated_log2_change	PC68	68	0.009147325971793727	0.00011731148567722479	0.011731148567722479	0.9996560198690175	99.96560198690176
bpv_calibrated_log2_change	PC69	69	0.007483633224992556	9.597516635948248e-05	0.009597516635948248	0.999751995035377	99.97519950353771
bpv_calibrated_log2_change	PC70	70	0.005766712818653624	7.395621958987605e-05	0.007395621958987605	0.9998259512549669	99.98259512549669
bpv_calibrated_log2_change	PC71	71	0.004064215460897038	5.212224373553021e-05	0.0052122243735530215	0.9998780734987024	99.98780734987024
bpv_calibrated_log2_change	PC72	72	0.003373479891238404	4.326378431945357e-05	0.004326378431945357	0.9999213372830218	99.99213372830218
bpv_calibrated_log2_change	PC73	73	0.0030823314034108327	3.952989949179478e-05	0.003952989949179479	0.9999608671825135	99.99608671825135
bpv_calibrated_log2_change	PC74	74	0.0013741786946343212	1.762339559677133e-05	0.0017623395596771331	0.9999784905781103	99.99784905781102
bpv_calibrated_log2_change	PC75	75	0.0009772452465719886	1.2532852999868039e-05	0.0012532852999868039	0.9999910234311101	99.99910234311102
bpv_calibrated_log2_change	PC76	76	0.0006298203421305281	8.077241400699957e-06	0.0008077241400699958	0.9999991006725109	99.99991006725108
bpv_calibrated_log2_change	PC77	77	7.012477635086689e-05	8.993274889153386e-07	8.993274889153386e-05	0.9999999999999998	99.99999999999997
